1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
4 3 TRANS52204 tumblr_ngivb5dOC61rwf2xmo1_500 What does the woman do after look to left ?open door	What does the woman do after look to left ?run from tiger	What does the woman do after look to left ?start walking	What does the woman do after look to left ?hug guy	What does the woman do after look to left ?raise head
3 2 TRANS40957 tumblr_n9xbvxDMMu1qls9cco1_500 What does the man do before raise arm ?hit the other boy	What does the man do before raise arm ?run away	What does the man do before raise arm ?smile	What does the man do before raise arm ?kick foot	What does the man do before raise arm ?drop arm down
0 1 TRANS16466 tumblr_ngtd3euAIt1rwc3zyo1_400 What does the woman do after turn toward the camera ?form heart	What does the woman do after turn toward the camera ?shut a door	What does the woman do after turn toward the camera ?approach to a dog on left	What does the woman do after turn toward the camera ?dance	What does the woman do after turn toward the camera ?twist feet across room
3 4 TRANS13790 tumblr_n9z2mjZG4z1qkzi04o1_250 What does the man do after look away ?stare at camera	What does the man do after look away ?chew gum	What does the man do after look away ?eat food	What does the man do after look away ?lean back	What does the man do after look away ?wave
4 3 TRANS28301 tumblr_n9zlvzY5jO1sp3selo1_250 What does the woman with a brown and black Poseidon top do before shift eye to the side ?squeeze lever	What does the woman with a brown and black Poseidon top do before shift eye to the side ?drink coffee	What does the woman with a brown and black Poseidon top do before shift eye to the side ?climb on top of door	What does the woman with a brown and black Poseidon top do before shift eye to the side ?look straight ahead	What does the woman with a brown and black Poseidon top do before shift eye to the side ?lift arm
4 3 TRANS46414 tumblr_nbh1deqvo01tl6l5bo1_250 What does the man in an olive drab jacket do after walk away from the camera ?laugh	What does the man in an olive drab jacket do after walk away from the camera ?kiss her	What does the man in an olive drab jacket do after walk away from the camera ?smile	What does the man in an olive drab jacket do after walk away from the camera ?turn around	What does the man in an olive drab jacket do after walk away from the camera ?shake head
0 2 TRANS10056 tumblr_nck16pEY481rr6t07o1_250 What does the hand do after spray with alcohol ?lift head	What does the hand do after spray with alcohol ?punch man in stomach	What does the hand do after spray with alcohol ?briefly light on fire	What does the hand do after spray with alcohol ?wink	What does the hand do after spray with alcohol ?chew something
4 2 TRANS8479 tumblr_n9s3hg7Ld31ti9iujo1_250 What does the man do before eat food ?frown	What does the man do before eat food ?pucker lips	What does the man do before eat food ?bounce in seat	What does the man do before eat food ?swivel hips	What does the man do before eat food ?speak to a woman
3 0 TRANS49033 tumblr_nozo2ff5g41uuaoa4o1_400 What does the man do before spin around ?wave arm	What does the man do before spin around ?pick up woman	What does the man do before spin around ?walk on a conveyor	What does the man do before spin around ?sit upright	What does the man do before spin around ?laugh
1 0 TRANS3421 tumblr_n9gfntPgEK1rj8yzto2_250 What does the man do before touch forehead ?lower head	What does the man do before touch forehead ?sing	What does the man do before touch forehead ?uncover eye	What does the man do before touch forehead ?swivel hips	What does the man do before touch forehead ?wink
3 0 TRANS32846 tumblr_ncjgm6KYr81tl6y18o1_400 What does the woman in black do after put drink down ?walk away	What does the woman in black do after put drink down ?serious	What does the woman in black do after put drink down ?lean to the left	What does the woman in black do after put drink down ?roll off the sofa	What does the woman in black do after put drink down ?spin wheel
1 0 TRANS53292 tumblr_njuiw0p3Ko1uo1ukqo1_250 What does the woman do after look away from camera ?turn head	What does the woman do after look away from camera ?smile look away	What does the woman do after look away from camera ?shake head	What does the woman do after look away from camera ?open hand	What does the woman do after look away from camera ?jump
1 2 TRANS31250 tumblr_na0s23vugd1sft9vjo1_250 What does the woman do after stare at a man ?lean over	What does the woman do after stare at a man ?smile	What does the woman do after stare at a man ?throw book to the ground	What does the woman do after stare at a man ?begin singing	What does the woman do after stare at a man ?slowly turn head around
3 2 TRANS30188 tumblr_n912uxe68J1sexzuno1_500 What does the woman do after sit up ?fight with another animal	What does the woman do after sit up ?ride a board	What does the woman do after sit up ?touch face	What does the woman do after sit up ?pose	What does the woman do after sit up ?eat
3 2 TRANS14940 tumblr_ngtjyi5IaW1sgeuwzo1_400 What does the man do after lean forward ?bang head	What does the man do after lean forward ?gesture hand	What does the man do after lean forward ?fall back	What does the man do after lean forward ?thumb up	What does the man do after lean forward ?yell
0 4 TRANS9302 tumblr_namrmitS3W1sjw7ogo1_250 What does the woman do after lower cup ?blows a kiss	What does the woman do after lower cup ?chew toothbrush	What does the woman do after lower cup ?wave hand	What does the woman do after lower cup ?wink an eye	What does the woman do after lower cup ?look off to the right
0 2 TRANS37590 tumblr_n9rb0b8mi11qfrgvko1_r2_500 What does the man in red shirt do after sing ?lay down	What does the man in red shirt do after sing ?lift paw	What does the man in red shirt do after sing ?show arm	What does the man in red shirt do after sing ?lean forward	What does the man in red shirt do after sing ?reach out
2 0 TRANS45874 tumblr_nkulzveVZa1s2y2x1o1_250 What does the girl in front do after stand ?sit	What does the girl in front do after stand ?touch head with a finger	What does the girl in front do after stand ?kiss girl on cheek	What does the girl in front do after stand ?kick leg and catch a coin	What does the girl in front do after stand ?raise arm
2 3 TRANS56871 tumblr_nk50qbAqRO1t0m9wio1_500 What does the girl do before open eye ?walk away	What does the girl do before open eye ?smile	What does the girl do before open eye ?touch face	What does the girl do before open eye ?move backward	What does the girl do before open eye ?throw wood
3 0 TRANS22241 tumblr_ne4c3hRuqZ1sm50zqo1_500 What does the woman do before smile ?raise arm	What does the woman do before smile ?rock back	What does the woman do before smile ?stare to side	What does the woman do before smile ?snap finger	What does the woman do before smile ?blink
4 0 TRANS911 tumblr_nk3uk59SAE1sbdpn0o1_400 What does the man do before walk backward ?play insterment	What does the man do before walk backward ?powder come out of it	What does the man do before walk backward ?huddle together	What does the man do before walk backward ?shatter glass	What does the man do before walk backward ?lean down
2 4 TRANS30629 tumblr_ndlhwgX2fm1tm15nlo1_400 What does the cat do before bite person's hand ?slap	What does the cat do before bite person's hand ?scream	What does the cat do before bite person's hand ?lean on refrigerator	What does the cat do before bite person's hand ?flip skateboard	What does the cat do before bite person's hand ?place paw on person's hand
2 4 TRANS35650 tumblr_nj9u3afOHJ1u182quo1_400 What does the man do after walk forward ?lift head	What does the man do after walk forward ?reach out	What does the man do after walk forward ?point gun	What does the man do after walk forward ?hide behind corner	What does the man do after walk forward ?dance
3 0 TRANS36220 tumblr_nk93w8xzrj1uoybayo1_400 What does the man do after look down ?kiss hand	What does the man do after look down ?run	What does the man do after look down ?have the soccer ball	What does the man do after look down ?point	What does the man do after look down ?raise eybrows
3 1 TRANS23644 tumblr_nb8rmk4FML1tl20oxo1_250 What does the cat do after bend neck and look down at grass ?dance on stage	What does the cat do after bend neck and look down at grass ?lift neck to turn and look up	What does the cat do after bend neck and look down at grass ?talk to man	What does the cat do after bend neck and look down at grass ?play with overhead string	What does the cat do after bend neck and look down at grass ?listen seriously
0 2 TRANS32082 tumblr_nb1gvnLVNH1rwomrpo1_250 What does the man do after find something ?slap a man	What does the man do after find something ?hug guy	What does the man do after find something ?fall down	What does the man do after find something ?smile	What does the man do after find something ?listen to phone
0 3 TRANS16680 tumblr_npjox4Klua1uwrqzco1_400 What does the man do after blow kiss ?moved around	What does the man do after blow kiss ?slide down the lane	What does the man do after blow kiss ?extend both legs	What does the man do after blow kiss ?drink from can	What does the man do after blow kiss ?pitch ball at pin
0 2 TRANS9002 tumblr_nrebnpJfWQ1qcr3i7o1_400 What does the liquid do after look transparent ?shrug	What does the liquid do after look transparent ?clap	What does the liquid do after look transparent ?turns color to purple	What does the liquid do after look transparent ?display a pipe	What does the liquid do after look transparent ?chew on food
1 2 TRANS15623 tumblr_n8vnfnID7o1tepekso1_400 What does the man do before form heart ?chew something	What does the man do before form heart ?fix glass	What does the man do before form heart ?wave hand	What does the man do before form heart ?lean back cry	What does the man do before form heart ?stare ahead
1 2 TRANS18992 tumblr_ncaawdCxWV1rvlx3so1_400 What does the person do after looks at cat ?run	What does the person do after looks at cat ?fix hair	What does the person do after looks at cat ?smiles	What does the person do after looks at cat ?cover mouth	What does the person do after looks at cat ?lower left farm
2 3 TRANS46580 tumblr_nbi1rcR9tI1tjt4u9o1_400 What does the man in stripped shirt do after smile ?smile	What does the man in stripped shirt do after smile ?shake head	What does the man in stripped shirt do after smile ?kiss other man	What does the man in stripped shirt do after smile ?point at food	What does the man in stripped shirt do after smile ?flip
0 4 TRANS40294 tumblr_na3hdtVIP41qd6ugto1_500 What does the boy do after chew ?touch face	What does the boy do after chew ?spin a hat	What does the boy do after chew ?step forward	What does the boy do after chew ?lift arm	What does the boy do after chew ?eat something else
0 1 TRANS35895 tumblr_na54pnjP711s360ato1_500 What does the man do before fall ?smile	What does the man do before fall ?jump over rail	What does the man do before fall ?speak in the microphone	What does the man do before fall ?face room	What does the man do before fall ?lean forward
1 2 TRANS29414 tumblr_noeznvfdTv1th8jklo1_500 What does the man do after smile ?stretch hand out	What does the man do after smile ?lift microphone	What does the man do after smile ?talk something	What does the man do after smile ?bend over	What does the man do after smile ?swing sword
4 2 TRANS45377 tumblr_nacqlmg29U1sn53c3o1_500 What does the man do before smile ?start running	What does the man do before smile ?run	What does the man do before smile ?hug a woman	What does the man do before smile ?have hand with the stick in the air	What does the man do before smile ?open mouth wide
0 4 TRANS34279 tumblr_nppnpzGIMu1sgpl4mo1_400 What does the man do before bend down ?lean	What does the man do before bend down ?point finger	What does the man do before bend down ?stretch out arm	What does the man do before bend down ?drop the object from hand	What does the man do before bend down ?sing
1 4 TRANS56077 tumblr_nht4i30HAy1u7ebs7o1_500 What does the woman do before smile ?fall down	What does the woman do before smile ?grab hat	What does the woman do before smile ?blow fog on window	What does the woman do before smile ?hand through hair	What does the woman do before smile ?talk
3 1 TRANS22523 tumblr_njpa4yFBB41s4vjdko1_400 What does the woman do before blink ?lower leg	What does the woman do before blink ?stare straight ahead	What does the woman do before blink ?run	What does the woman do before blink ?raise eyebrows	What does the woman do before blink ?in water
2 4 TRANS5379 tumblr_nbhwzgChv21suehu3o1_250 What does the man do before turn around ?gasp	What does the man do before turn around ?eat	What does the man do before turn around ?sing	What does the man do before turn around ?play drum	What does the man do before turn around ?wave hand
4 1 TRANS50134 tumblr_nfgsquCDMi1ssgyoro1_400 What does the baby do after dance ?touch the dog	What does the baby do after dance ?squat down	What does the baby do after dance ?open mouth	What does the baby do after dance ?smile	What does the baby do after dance ?make eleictric wire spark
2 4 TRANS52128 tumblr_np4dquZO101u4oerso1_500 What does the woman do after touch head ?stick out tongue	What does the woman do after touch head ?smile	What does the woman do after touch head ?touch man's neck	What does the woman do after touch head ?pick it up	What does the woman do after touch head ?raise arm
4 3 TRANS30066 tumblr_nc8b5ovuXE1tqpir1o1_500 What does the woman do after cover face with hand ?lean head on man	What does the woman do after cover face with hand ?dance right	What does the woman do after cover face with hand ?show object	What does the woman do after cover face with hand ?blow kiss	What does the woman do after cover face with hand ?embrace friend
2 0 TRANS9897 tumblr_ngx846vyOq1r48b3xo1_500 What does the man do before blow a kiss ?lean over	What does the man do before blow a kiss ?frown	What does the man do before blow a kiss ?wink	What does the man do before blow a kiss ?crouch	What does the man do before blow a kiss ?blink
4 2 TRANS22994 tumblr_nf2cavLMyV1sbpxeho1_400 What does the man do after open door ?blink eye	What does the man do after open door ?shake head	What does the man do after open door ?open eyes	What does the man do after open door ?spin upside down on hand	What does the man do after open door ?wear a skirt
2 1 TRANS7484 tumblr_nqlw0r5pkk1r0rbcso1_500 What does the man do after look away ?stare forward	What does the man do after look away ?block the light with hand	What does the man do after look away ?speak	What does the man do after look away ?wink	What does the man do after look away ?dance
4 0 TRANS58054 tumblr_naxjabeSW11t2s1j1o1_500 What does the man in hat do after face camera ?raise fist	What does the man in hat do after face camera ?smile	What does the man in hat do after face camera ?pick up a paper	What does the man in hat do after face camera ?stick out tongue	What does the man in hat do after face camera ?look right
4 0 TRANS8183 tumblr_na7zofXXBQ1t5ojzdo1_250 What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?walk with blonde girl's head on shoulder	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?shrug	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?remove sticker	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?wave at camera	What does the girl in black shirt walking with blonde woman do before blonde girl lift head move out of frame ?exhale smoke
0 2 TRANS18866 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do after sing a song ?write a letter	What does the man do after sing a song ?run away	What does the man do after sing a song ?bow head	What does the man do after sing a song ?talk and smile	What does the man do after sing a song ?drive toward the left side
2 3 TRANS43430 tumblr_ngualrRXyN1rbw48po1_500 What does the man with beard do after laugh ?point finger upward	What does the man with beard do after laugh ?run out of barn	What does the man with beard do after laugh ?have ice cube put into it	What does the man with beard do after laugh ?kiss a man on right	What does the man with beard do after laugh ?raise hand in air
4 0 TRANS21743 tumblr_ndimtneGyq1so3pgmo1_400 What does the character do before look at camera ?stare upside	What does the character do before look at camera ?lower arm	What does the character do before look at camera ?run up stairs	What does the character do before look at camera ?in pool	What does the character do before look at camera ?deal card
1 3 TRANS18048 tumblr_nknbdinpz91sph7v6o1_400 What does the guy do after sing ?wipe chin	What does the guy do after sing ?wave to people	What does the guy do after sing ?tap face with finger	What does the guy do after sing ?look down	What does the guy do after sing ?toss package
2 4 TRANS23 tumblr_n9y2jhq01L1rts5xfo1_250 What does the man do before point to the camera ?vacuum with unnattached tube	What does the man do before point to the camera ?tilt head	What does the man do before point to the camera ?tip hat	What does the man do before point to the camera ?removes glasses	What does the man do before point to the camera ?sing passionately
2 0 TRANS35697 tumblr_nig4b0b1ln1rs9adzo1_400 What does the man with a long hair do before hug the guitarist ?sing	What does the man with a long hair do before hug the guitarist ?point finger	What does the man with a long hair do before hug the guitarist ?drop the phone	What does the man with a long hair do before hug the guitarist ?lean backward	What does the man with a long hair do before hug the guitarist ?run towards ball
3 2 TRANS57916 tumblr_npfcbburKv1uqba17o1_500 What does the woman do after dance ?stick tongue	What does the woman do after dance ?smile	What does the woman do after dance ?lead backwards	What does the woman do after dance ?grab boys pant	What does the woman do after dance ?sit on sofa
2 1 TRANS22506 tumblr_nnukunx7r61uuj39do1_400 What does the goat and boy do after goat back up ?laugh	What does the goat and boy do after goat back up ?ram little boy twice	What does the goat and boy do after goat back up ?look at hand	What does the goat and boy do after goat back up ?smile	What does the goat and boy do after goat back up ?calm down
4 1 TRANS1087 tumblr_n9lg56akWb1tdsk3ao1_250 What does the man do before smile ?ski	What does the man do before smile ?neutral	What does the man do before smile ?kiss the man	What does the man do before smile ?clasp hand together	What does the man do before smile ?blow smoke
2 4 TRANS3499 tumblr_n8vcz4GWO11tvsbeto1_250 What does the man do before turn to the right ?blink	What does the man do before turn to the right ?clap	What does the man do before turn to the right ?smile	What does the man do before turn to the right ?wiggle	What does the man do before turn to the right ?land on the ground
3 0 TRANS17505 tumblr_njprg882nT1u9v8ero1_400 What does the man do before close mouth ?yell	What does the man do before close mouth ?in the street	What does the man do before close mouth ?holds papers	What does the man do before close mouth ?cover face with it	What does the man do before close mouth ?balance coin
2 1 TRANS34448 tumblr_nc2tbjQ4oZ1rmiij7o1_500 What does the woman on left do after hug woman in the middle ?shake body	What does the woman on left do after hug woman in the middle ?point at woman on the right	What does the woman on left do after hug woman in the middle ?kiss man	What does the woman on left do after hug woman in the middle ?hug boy	What does the woman on left do after hug woman in the middle ?hide next to door
0 3 TRANS22242 tumblr_ne4c3hRuqZ1sm50zqo1_500 What does the woman do after raise arm ?lower head	What does the woman do after raise arm ?run from behind another soccer player	What does the woman do after raise arm ?on guy's head	What does the woman do after raise arm ?smile	What does the woman do after raise arm ?drive straight
3 0 TRANS21289 tumblr_nejtlgrkmT1u1pi4oo1_400 What does the woman do before lick lips ?open mouth	What does the woman do before lick lips ?spin	What does the woman do before lick lips ?shake head	What does the woman do before lick lips ?blink eyes	What does the woman do before lick lips ?count with finger
3 1 TRANS11959 tumblr_nq8pahvjZZ1uym2rjo1_400 What does the white animal do before turn head ?wave hand in air	What does the white animal do before turn head ?chew food	What does the white animal do before turn head ?city	What does the white animal do before turn head ?raise eyebrows	What does the white animal do before turn head ?hit by a board
0 1 TRANS27798 tumblr_nfho038AlR1su2ypvo1_400 What does the man do after hold a man's head ?smoke a cigarette	What does the man do after hold a man's head ?back away	What does the man do after hold a man's head ?sing	What does the man do after hold a man's head ?pose	What does the man do after hold a man's head ?lick lips
1 3 TRANS20698 tumblr_nhfi622nVm1u76oc4o1_500 What does the man do after wipe brow ?stretch them backwards	What does the man do after wipe brow ?raise hand	What does the man do after wipe brow ?slide up stairs	What does the man do after wipe brow ?fan himself	What does the man do after wipe brow ?walk away
3 4 TRANS8843 tumblr_nk6u7h2I8Z1saeojro1_400 What does the man do before step back ?wink	What does the man do before step back ?shrug shoulder	What does the man do before step back ?pump arm	What does the man do before step back ?raise eyebrows	What does the man do before step back ?stare
0 4 TRANS46052 tumblr_nduyhsKaEd1tqd3ieo1_500 What does the man do after blow smoke ?laugh	What does the man do after blow smoke ?talk into microphone	What does the man do after blow smoke ?kiss other guy	What does the man do after blow smoke ?happy	What does the man do after blow smoke ?stretch arm
4 0 TRANS47311 tumblr_n9pb8zOyw21sk66qto1_250 What does the woman do before touch hair ?adjust seat	What does the woman do before touch hair ?walk backward	What does the woman do before touch hair ?laugh	What does the woman do before touch hair ?talk to a man	What does the woman do before touch hair ?blow kiss
2 0 TRANS43412 tumblr_nf7gq1ZaK81te9v75o1_400 What does the man do after blink eyes ?shake head	What does the man do after blink eyes ?open arm	What does the man do after blink eyes ?close it and smile	What does the man do after blink eyes ?run	What does the man do after blink eyes ?point
4 1 TRANS369 tumblr_nglflbsZJC1sidyqyo1_250 What does the man do before run away ?puff lips	What does the man do before run away ?wave something	What does the man do before run away ?rub nose	What does the man do before run away ?inhale a cigarette	What does the man do before run away ?swab boys mouth
2 4 TRANS30532 tumblr_nes29geEUr1qa0m06o1_500 What does the man do after move foot ?play to drive a car	What does the man do after move foot ?run into woods	What does the man do after move foot ?raise eyebrow	What does the man do after move foot ?cut noodles	What does the man do after move foot ?stare at darkness
0 1 TRANS21214 tumblr_n9wrdo0tex1tff33do1_400 What does the woman do after hold cat ?open lid with spill sauce	What does the woman do after hold cat ?shake cat	What does the woman do after hold cat ?in mouth	What does the woman do after hold cat ?on the ground	What does the woman do after hold cat ?show things in hand
4 2 TRANS4784 tumblr_nda9e7zTaJ1tc8uu9o1_400 What does the woman do after smile ?dance	What does the woman do after smile ?crouch	What does the woman do after smile ?point	What does the woman do after smile ?hug man	What does the woman do after smile ?shake head and smile
2 1 TRANS46854 tumblr_nilz0gBZcA1sj2m5ko1_500 What does the man do after drink ?raise arm	What does the man do after drink ?look forward	What does the man do after drink ?kiss man on cheek	What does the man do after drink ?roll onto floor	What does the man do after drink ?kick practice dummy
4 2 TRANS47800 tumblr_nk9ofu1ePx1tv1rs8o1_400 What does the man do after say something ?touch pocket	What does the man do after say something ?smile	What does the man do after say something ?fall from chair	What does the man do after say something ?talk	What does the man do after say something ?laugh
1 0 TRANS20381 tumblr_ngyrfb6hzc1rlvjr1o1_400 What does the person do before touch face ?lean back	What does the person do before touch face ?sing	What does the person do before touch face ?hit pole	What does the person do before touch face ?watch toy helicopter	What does the person do before touch face ?enter a room via window
2 0 TRANS26697 tumblr_nerf6iPAlT1tdjuqvo1_250 What does the man do before stand up ?place bucket on top of man's head	What does the man do before stand up ?flip onto opponent	What does the man do before stand up ?punch	What does the man do before stand up ?stare to right	What does the man do before stand up ?scream
1 4 TRANS19261 tumblr_nhdpcfJ9wz1r440y4o1_400 What does the woman do before spin around ?sneak around alley way	What does the woman do before spin around ?spin	What does the woman do before spin around ?skip	What does the woman do before spin around ?trip	What does the woman do before spin around ?face the camera
2 3 TRANS52091 tumblr_ni35qtxOtN1u4x9lco1_500 What does the boy do before take the cover off ?start give smile	What does the boy do before take the cover off ?pick it up	What does the boy do before take the cover off ?touch face	What does the boy do before take the cover off ?lie down with face cover	What does the boy do before take the cover off ?grab tail
2 1 TRANS31660 tumblr_na5e7cqw5L1r7w2obo1_r3_500 What does the girl do after smile ?reach across table	What does the girl do after smile ?laugh	What does the girl do after smile ?stretch arm out like he's blow the kiss	What does the girl do after smile ?slide down hill	What does the girl do after smile ?step with left leg
0 2 TRANS47540 tumblr_nq0oa9NEcm1sna8pso1_500 What does the hockey player do after throws a hockey stick ?roll away	What does the hockey player do after throws a hockey stick ?flip hair	What does the hockey player do after throws a hockey stick ?takes off mask	What does the hockey player do after throws a hockey stick ?shake hand	What does the hockey player do after throws a hockey stick ?smile
1 3 TRANS45367 tumblr_njm9ophE741t7an45o1_500 What does the woman do before kiss man ?face away from male partner	What does the woman do before kiss man ?step in snow	What does the woman do before kiss man ?raise two finger	What does the woman do before kiss man ?hang upside down	What does the woman do before kiss man ?turns head
4 2 TRANS7111 tumblr_n9gl73jiW11si92i8o1_500 What does the man do before touch cheek ?skate	What does the man do before touch cheek ?look out window	What does the man do before touch cheek ?stroke chin	What does the man do before touch cheek ?tilt head	What does the man do before touch cheek ?talk into microphone
0 2 TRANS13931 tumblr_nqw4at9cu21sxecxyo1_500 What does the man do before show hook 'em horn sign on a hand ?point to the gas cap	What does the man do before show hook 'em horn sign on a hand ?holds hair	What does the man do before show hook 'em horn sign on a hand ?sing and play guitar	What does the man do before show hook 'em horn sign on a hand ?wrap arm around girl	What does the man do before show hook 'em horn sign on a hand ?narrow eye
0 1 TRANS39467 tumblr_njoyykt1lr1r6utd5o1_400 What does the girl do before fall down after a car hit her ?lift oponent	What does the girl do before fall down after a car hit her ?cry	What does the girl do before fall down after a car hit her ?swing arm in the air	What does the girl do before fall down after a car hit her ?spin	What does the girl do before fall down after a car hit her ?flip over
3 1 TRANS6213 tumblr_ndwywb6JYu1qd8xguo1_500 What does the person on right do before hold microphone with both hands ?wink	What does the person on right do before hold microphone with both hands ?dance in seat	What does the person on right do before hold microphone with both hands ?faint	What does the person on right do before hold microphone with both hands ?fix tie	What does the person on right do before hold microphone with both hands ?tilt head
0 1 TRANS17077 tumblr_nk8rlrtP8R1t5jzovo1_400 What does the man do before move back ?point finger	What does the man do before move back ?sing into mic	What does the man do before move back ?remove cover from water	What does the man do before move back ?lower sunglass	What does the man do before move back ?tip over on road
3 4 TRANS28983 tumblr_nb968rxLmD1su0w9ao1_400 What does the man do before smile ?cross arm	What does the man do before smile ?dance	What does the man do before smile ?follow a bird fly	What does the man do before smile ?show sign of horn	What does the man do before smile ?blow on a ball
1 3 TRANS41225 tumblr_njy2ahhYsH1u3y1g4o1_250 What does the man in costume do before take off mask ?spin	What does the man in costume do before take off mask ?run	What does the man in costume do before take off mask ?start move	What does the man in costume do before take off mask ?hug man	What does the man in costume do before take off mask ?have a broad smile
2 0 TRANS6625 tumblr_nivav8EGuz1sdv4q6o1_500 What does the man do before smile ?talk	What does the man do before smile ?tilt head	What does the man do before smile ?pout	What does the man do before smile ?salute	What does the man do before smile ?finger hair
4 2 TRANS31679 tumblr_n916q0aCLc1td6onfo1_500 What does the boy in the front of a group do before make a peace sign ?raise hand	What does the boy in the front of a group do before make a peace sign ?run	What does the boy in the front of a group do before make a peace sign ?stare	What does the boy in the front of a group do before make a peace sign ?play with a knife	What does the boy in the front of a group do before make a peace sign ?carry the tire
0 2 TRANS18104 tumblr_nbhensx8fu1rj259ko1_400 What does the girl do after sing ?cover mouth	What does the girl do after sing ?high-fives another person	What does the girl do after sing ?nod head	What does the girl do after sing ?fly off the mattress	What does the girl do after sing ?trap a ball
4 0 TRANS10472 tumblr_nc4z54JieK1som6aeo1_250 What does the worker do after stand still ?starts walking	What does the worker do after stand still ?hug friends	What does the worker do after stand still ?cover mouth with hand	What does the worker do after stand still ?troll eye	What does the worker do after stand still ?cross arm
1 3 TRANS14545 tumblr_nnkrgy251a1uupqewo1_400 What does the man do before wipe other man head ?clean face	What does the man do before wipe other man head ?remove helmet	What does the man do before wipe other man head ?curb	What does the man do before wipe other man head ?dance	What does the man do before wipe other man head ?lower body down
4 2 TRANS28302 tumblr_n9zlvzY5jO1sp3selo1_250 What does the woman with a brown and black Poseidon top do after look straight ahead ?smile	What does the woman with a brown and black Poseidon top do after look straight ahead ?laugh	What does the woman with a brown and black Poseidon top do after look straight ahead ?shift eye to the side	What does the woman with a brown and black Poseidon top do after look straight ahead ?kiss man	What does the woman with a brown and black Poseidon top do after look straight ahead ?sing into microphone
0 4 TRANS48644 tumblr_nq9j5lIaD11uz0qnyo1_500 What does the lady do after lift head ?talk	What does the lady do after lift head ?stop	What does the lady do after lift head ?place arm around waist	What does the lady do after lift head ?catch shield	What does the lady do after lift head ?lean on wall
3 4 TRANS37185 tumblr_nbg6ia8wuI1typ81lo1_400 What does the man do before look up ?lift arm and leg	What does the man do before look up ?swing testes	What does the man do before look up ?spin around	What does the man do before look up ?step forward	What does the man do before look up ?eat spaghetti with finger
3 4 TRANS10248 tumblr_n912w5GYV01teq0e2o1_400 What does the man do after laugh ?dance	What does the man do after laugh ?paw in the air	What does the man do after laugh ?wipe nose	What does the man do after laugh ?raise hand	What does the man do after laugh ?straight face
1 4 TRANS13087 tumblr_nafngzqDRD1teqt83o1_250 What does the blonde woman on right do before laugh ?land on the road	What does the blonde woman on right do before laugh ?raise a towel by two hand	What does the blonde woman on right do before laugh ?race with other competitor	What does the blonde woman on right do before laugh ?dance	What does the blonde woman on right do before laugh ?snap finger
2 4 TRANS31799 tumblr_nc56qahgCd1tfeeomo1_400 What does the man do before lift hand ?steal ball	What does the man do before lift hand ?hit herself	What does the man do before lift hand ?play a guitar	What does the man do before lift hand ?watch man	What does the man do before lift hand ?lean back
0 1 TRANS40428 tumblr_nd1axvPIfX1qls3joo1_250 What does the man in black foodie do after walk ?walk over to guy in yellow	What does the man in black foodie do after walk ?adjust handcuff	What does the man in black foodie do after walk ?kiss woman	What does the man in black foodie do after walk ?cry	What does the man in black foodie do after walk ?surprise
4 3 TRANS29869 tumblr_nfqnahAvld1rozfhxo1_500 What does the man do before run hand through hair ?drink from glass	What does the man do before run hand through hair ?hug teammate	What does the man do before run hand through hair ?dance in crowd	What does the man do before run hand through hair ?turn head	What does the man do before run hand through hair ?pose for picture
1 4 TRANS53111 tumblr_np8ivduhRk1tn6pbso1_500 What does the woman do before raise the other ?stick out tongue	What does the woman do before raise the other ?smile	What does the woman do before raise the other ?touch face	What does the woman do before raise the other ?pick up dog	What does the woman do before raise the other ?raise one hand
0 4 TRANS38512 tumblr_nr8msaCuBE1u84va7o1_400 What does the woman with black hair do after hold head ?lean forward	What does the woman with black hair do after hold head ?lift it over head	What does the woman with black hair do after hold head ?flip cloth	What does the woman with black hair do after hold head ?swing controller	What does the woman with black hair do after hold head ?say yes
0 3 TRANS8713 tumblr_nca4fq9EnX1td804io1_250 What does the man do before stare ?frown	What does the man do before stare ?wink	What does the man do before stare ?thrust hips	What does the man do before stare ?mock with lips	What does the man do before stare ?parse lips
2 0 TRANS8793 tumblr_n9fojyUc6t1rruuyro1_500 What does the lady do before raise eyebrow ?shift in chair	What does the lady do before raise eyebrow ?rub arm	What does the lady do before raise eyebrow ?grin face	What does the lady do before raise eyebrow ?drink a soda	What does the lady do before raise eyebrow ?tumble in dirt
0 1 TRANS21242 tumblr_n9ynh2Hx361qfyx3mo1_400 What does the man do after bang head ?spin hair	What does the man do after bang head ?open door	What does the man do after bang head ?blink	What does the man do after bang head ?wear sunglasses	What does the man do after bang head ?shake head
0 2 TRANS38002 tumblr_naw8zsiXqa1qzwouio1_400 What does the man do after shake head ?touch face	What does the man do after shake head ?lean forward	What does the man do after shake head ?stop shaking head	What does the man do after shake head ?swing the fly swatter	What does the man do after shake head ?lift head and turn to walk away
