4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
4 3 TRANS3357 tumblr_ndjshjXoB91s71nvbo1_250 What does the man do before walk away ?head inside a cup	What does the man do before walk away ?upside down	What does the man do before walk away ?strain face show teeth	What does the man do before walk away ?capture animal in bag	What does the man do before walk away ?sway back
3 0 TRANS6440 tumblr_nkhd92rnlh1txas8wo1_500 What does the man do after wake up suddenly ?remove a paper from face	What does the man do after wake up suddenly ?skate down ramp	What does the man do after wake up suddenly ?smirk	What does the man do after wake up suddenly ?scream at bear	What does the man do after wake up suddenly ?grin
4 1 TRANS862 tumblr_npqkuhVCs31tkhxdko1_400 What does the monkey do after open eye ?gallop	What does the monkey do after open eye ?smile	What does the monkey do after open eye ?run away from cars	What does the monkey do after open eye ?bob head back and forth	What does the monkey do after open eye ?press teeth down
4 2 TRANS48988 tumblr_ngrkolWs8D1qakqfso1_400 What does the skateboarder on TV do after stand on skateboard ?run from a leopard	What does the skateboarder on TV do after stand on skateboard ?kick knee up	What does the skateboarder on TV do after stand on skateboard ?lay on skateboard	What does the skateboarder on TV do after stand on skateboard ?flip table	What does the skateboarder on TV do after stand on skateboard ?jump off roof
1 0 TRANS53292 tumblr_njuiw0p3Ko1uo1ukqo1_250 What does the woman do after look away from camera ?turn head	What does the woman do after look away from camera ?smile look away	What does the woman do after look away from camera ?shake head	What does the woman do after look away from camera ?open hand	What does the woman do after look away from camera ?jump
4 0 TRANS52789 tumblr_nhxflguip81tq0j6co1_500 What does the man do before close eye ?brush girls hair	What does the man do before close eye ?talk with mouth	What does the man do before close eye ?raise hand to face	What does the man do before close eye ?say something	What does the man do before close eye ?come around the doorway
2 1 TRANS29929 tumblr_n9629yoi9z1tb9kmwo1_250 What does the man on right do before grab another man's leg ?reach in bag	What does the man on right do before grab another man's leg ?laugh	What does the man on right do before grab another man's leg ?spread fingers out	What does the man on right do before grab another man's leg ?stretch out arm	What does the man on right do before grab another man's leg ?slide out of the race
1 2 TRANS48787 tumblr_nd6u5vgOwZ1tekfeyo1_500 What does the boy on left do before move around ?laugh	What does the boy on left do before move around ?talk and look at a frog puppet	What does the boy on left do before move around ?lift head up	What does the boy on left do before move around ?lie on the bed	What does the boy on left do before move around ?say no
2 1 TRANS37342 tumblr_nogkhlzgRK1uvi76ao1_500 What does the right man do after hug man ?talk	What does the right man do after hug man ?lift him up	What does the right man do after hug man ?shoot man	What does the right man do after hug man ?pretend to drink tea underwater	What does the right man do after hug man ?turned
2 4 TRANS40201 tumblr_np67fnXaAj1tatohao1_400 What does the man do before rub fox's belly ?raise eyebrows	What does the man do before rub fox's belly ?run	What does the man do before rub fox's belly ?have ice cube put into it	What does the man do before rub fox's belly ?point gun	What does the man do before rub fox's belly ?kiss fox
4 2 TRANS828 tumblr_naymij4o491rnas60o1_250 What does the person do after stand ?peforrms a skateborad trick	What does the person do after stand ?pounce on mouse	What does the person do after stand ?shake legs and butt	What does the person do after stand ?flinch	What does the person do after stand ?show thumb up sign with two hand
0 4 TRANS42478 tumblr_nqn3tqmbjc1souwjko1_400 What does the black man do after show object ?touch hand with the other boy	What does the black man do after show object ?spin in arm	What does the black man do after show object ?step forward	What does the black man do after show object ?lift hand up	What does the black man do after show object ?eat object
0 3 TRANS33374 tumblr_nhq77je8AI1rku1hfo1_400 What does the guy do after stop ?bend body	What does the guy do after stop ?scream	What does the guy do after stop ?kiss a girl	What does the guy do after stop ?keep walk	What does the guy do after stop ?sing into a microphone
2 1 TRANS35698 tumblr_nig4b0b1ln1rs9adzo1_400 What does the man with a long hair do after sing ?run away	What does the man with a long hair do after sing ?hug the guitarist	What does the man with a long hair do after sing ?play guitar	What does the man with a long hair do after sing ?begin smile	What does the man with a long hair do after sing ?start walking
0 3 TRANS23997 tumblr_nk4h904IAw1r8zm0oo1_500 What does the tiger do before bite meat ?act surprise	What does the tiger do before bite meat ?fix hair	What does the tiger do before bite meat ?nod head	What does the tiger do before bite meat ?swim	What does the tiger do before bite meat ?smoke cigarette
1 0 TRANS9314 tumblr_nrexu1YS0E1uz06r7o1_400 What does the dog do after slide on floor ?catch ball	What does the dog do after slide on floor ?high-fives other man	What does the dog do after slide on floor ?shrug shoulder	What does the dog do after slide on floor ?wink	What does the dog do after slide on floor ?sway head
4 0 TRANS32272 tumblr_neua43pKJC1t0kntqo1_250 What does the yellow thing do after dance ?wave	What does the yellow thing do after dance ?lean toward man on right	What does the yellow thing do after dance ?eat something	What does the yellow thing do after dance ?stay the same	What does the yellow thing do after dance ?play instrument and walk
2 0 TRANS29097 tumblr_n94vgu7eef1rraz85o1_400 What does the man do before smile in excitement ?stare ahead	What does the man do before smile in excitement ?raise arm	What does the man do before smile in excitement ?run away	What does the man do before smile in excitement ?spread arm	What does the man do before smile in excitement ?cut vegetables
1 0 TRANS52950 tumblr_ncj3exce911r189aqo1_400 What does the woman do after touch door ?open door	What does the woman do after touch door ?shake head	What does the woman do after touch door ?smile	What does the woman do after touch door ?throw ball	What does the woman do after touch door ?stick tongue out
4 2 TRANS8307 tumblr_ni1g3fczxJ1ra78amo1_100 What does the man do before duck head ?flap hands	What does the man do before duck head ?exhale	What does the man do before duck head ?laugh	What does the man do before duck head ?cover face	What does the man do before duck head ?unbutton shirt
4 2 TRANS55730 tumblr_napyl54Fg51tnxu2ro1_500 What does the camera do after film the girl ?knock over box	What does the camera do after film the girl ?throw hand into the air	What does the camera do after film the girl ?film the man	What does the camera do after film the girl ?open mouth wide	What does the camera do after film the girl ?grab a man face
2 4 TRANS39571 tumblr_nc3e3globU1snid6qo1_400 What does the woman do before embrace a man ?spin on snow	What does the woman do before embrace a man ?hands up	What does the woman do before embrace a man ?cry	What does the woman do before embrace a man ?shake legs and butt	What does the woman do before embrace a man ?trip
0 2 TRANS26525 tumblr_nhtfm7N0sV1u6xoazo1_250 What does the woman do before stand straight ?talk a pen up	What does the woman do before stand straight ?play	What does the woman do before stand straight ?bend down	What does the woman do before stand straight ?happy	What does the woman do before stand straight ?show object
1 2 TRANS8412 tumblr_nbw09yHJDi1ti7sj0o1_400 What does the woman in horse mask do after dance ?kiss girl on cheek	What does the woman in horse mask do after dance ?shake head	What does the woman in horse mask do after dance ?point	What does the woman in horse mask do after dance ?lick himself	What does the woman in horse mask do after dance ?tumble in the air
4 3 TRANS41696 tumblr_nbaueqBZgl1r8n3ceo1_400 What does the man do after listen a story from a woman ?run	What does the man do after listen a story from a woman ?open drower	What does the man do after listen a story from a woman ?close eye	What does the man do after listen a story from a woman ?shake head	What does the man do after listen a story from a woman ?point
1 4 TRANS34852 tumblr_noiz9iCS5O1uv0mu9o1_500 What does the woman do after look forward ?play piano and lean body forward	What does the woman do after look forward ?lean towards man	What does the woman do after look forward ?eat an animal	What does the woman do after look forward ?stay gray	What does the woman do after look forward ?wave
4 0 TRANS58189 tumblr_nb1cdezKJt1t3jhfvo1_500 What does the man listening to other man do before turn forward ?laugh	What does the man listening to other man do before turn forward ?run down stairs	What does the man listening to other man do before turn forward ?push wheelbarrow	What does the man listening to other man do before turn forward ?close eye	What does the man listening to other man do before turn forward ?hold hand on head
0 3 TRANS53956 tumblr_nfcce89zzc1tubwqbo1_400 What do the singer who wears a white cloth do after sing and dance ?look left	What do the singer who wears a white cloth do after sing and dance ?smile and lower hand	What do the singer who wears a white cloth do after sing and dance ?walk on the street	What do the singer who wears a white cloth do after sing and dance ?push another singer	What do the singer who wears a white cloth do after sing and dance ?talk
0 2 TRANS52152 tumblr_ncc1ycDVbj1rijrceo1_500 What does the woman in blue do after ride an elevator ?point to the crowd	What does the woman in blue do after ride an elevator ?run on wall	What does the woman in blue do after ride an elevator ?kiss other woman	What does the woman in blue do after ride an elevator ?raise hand in the air	What does the woman in blue do after ride an elevator ?start singing
2 0 TRANS12409 tumblr_nhm7o2QWcs1slj978o1_400 What does the little girl do before point finger up ?pump fists	What does the little girl do before point finger up ?celebrate the victory	What does the little girl do before point finger up ?smile	What does the little girl do before point finger up ?join by another man	What does the little girl do before point finger up ?hide behind door
2 3 TRANS27738 tumblr_n94f8ilpLQ1t0knigo1_500 What does the man with guitar do after play music ?slip through door crack	What does the man with guitar do after play music ?slide down the ramp	What does the man with guitar do after play music ?punch hand	What does the man with guitar do after play music ?raise hand in the air	What does the man with guitar do after play music ?lick lips
4 0 TRANS30535 tumblr_n95xq1FqHa1s0ea0ao1_400 What does the bird do before fall down hill ?rub face in snow	What does the bird do before fall down hill ?play a guitar	What does the bird do before fall down hill ?change color to white	What does the bird do before fall down hill ?reach up with stick turn and smile	What does the bird do before fall down hill ?a chair
1 4 TRANS47530 tumblr_ng80p46gmE1s7t4vjo1_500 What does the man do after smile ?touch chair	What does the man do after smile ?straight face	What does the man do after smile ?smile	What does the man do after smile ?flip hair	What does the man do after smile ?raise hand
4 1 TRANS13165 tumblr_ni07wyWJAu1tgftffo1_400 What does the man do before stick out tongue ?adjust short	What does the man do before stick out tongue ?walk	What does the man do before stick out tongue ?punch air	What does the man do before stick out tongue ?flash hair	What does the man do before stick out tongue ?cover mouth
4 0 TRANS28956 tumblr_n8s6um7qEO1sgwxtwo1_250 What does the boy in purple shirt do after look at camera ?thumb up	What does the boy in purple shirt do after look at camera ?raise hand up	What does the boy in purple shirt do after look at camera ?sing into microphone	What does the boy in purple shirt do after look at camera ?talk to two people	What does the boy in purple shirt do after look at camera ?speak to camera
2 3 TRANS29996 tumblr_ncn0kzcoXY1s71nvbo1_400 What does the woman do after look annoy ?play the keyboard	What does the woman do after look annoy ?fly over mound	What does the woman do after look annoy ?open eye	What does the woman do after look annoy ?shock	What does the woman do after look annoy ?eat something
1 3 TRANS10937 tumblr_notz47rcwY1sq24x8o1_400 What does the woman do before spin around ?release it	What does the woman do before spin around ?wipe face	What does the woman do before spin around ?nod head	What does the woman do before spin around ?cross legs	What does the woman do before spin around ?spit water
3 2 TRANS23549 tumblr_npz10iHpPb1ssqvb0o1_400 What does the man do before point down ?sing	What does the man do before point down ?shake head	What does the man do before point down ?point to the screen	What does the man do before point down ?lick lips	What does the man do before point down ?dance left
2 1 TRANS30523 tumblr_nh4kp4iSKN1rsfix9o1_500 What does the man do before look up ?dance	What does the man do before look up ?blow cigarette smoke	What does the man do before look up ?lean back	What does the man do before look up ?sing	What does the man do before look up ?walk off
4 1 TRANS18404 tumblr_naeek5CTnf1tpqc8uo1_400 What does the man do after fan ?brush hair	What does the man do after fan ?hit a girl with fan	What does the man do after fan ?lean forward	What does the man do after fan ?remove a cloak	What does the man do after fan ?embrace
0 3 TRANS35690 tumblr_nc47bdxzrD1taknwvo1_500 What does the person on left do after lift hand up ?step back	What does the person on left do after lift hand up ?reach forward	What does the person on left do after lift hand up ?slide down	What does the person on left do after lift hand up ?laugh	What does the person on left do after lift hand up ?open mouth
0 2 TRANS21663 tumblr_n8q7yzPdVO1tspnzbo1_400 What does the woman do before pull hair curl ?brush hair	What does the woman do before pull hair curl ?swing hips	What does the woman do before pull hair curl ?talk on phone	What does the woman do before pull hair curl ?bend over	What does the woman do before pull hair curl ?lift left babel up
0 3 TRANS10424 tumblr_n9z4saXhhl1suovrfo1_250 What does the kid hanging on do after make frightening face ?lean to the left	What does the kid hanging on do after make frightening face ?nod head	What does the kid hanging on do after make frightening face ?spray paint the metal plate	What does the kid hanging on do after make frightening face ?trip walk	What does the kid hanging on do after make frightening face ?hips up
3 1 TRANS50432 tumblr_no6si0cRpR1svos5ho1_400 What does the person do after put left hand on microphone ?point to self	What does the person do after put left hand on microphone ?sing	What does the person do after put left hand on microphone ?run hand through hair	What does the person do after put left hand on microphone ?step into the microphone	What does the person do after put left hand on microphone ?open object
3 1 TRANS37897 tumblr_nee2klxL6g1rwq3wxo1_400 What does the woman do before put head down ?point finger	What does the woman do before put head down ?sing toward the audience	What does the woman do before put head down ?drop ingredient into pot	What does the woman do before put head down ?lean to the left	What does the woman do before put head down ?run out of the room
3 0 TRANS24521 tumblr_n90wdbaCbJ1sakfnpo1_250 What does the white cat do before lick other cat ?put paw on other cat's neck	What does the white cat do before lick other cat ?dance with a football ball	What does the white cat do before lick other cat ?wave hand	What does the white cat do before lick other cat ?stare at camera	What does the white cat do before lick other cat ?blink eye
3 1 TRANS28882 tumblr_nogk5y4GWe1uvzfbqo1_400 What does the man do after slide chair ?smile	What does the man do after slide chair ?lower chair	What does the man do after slide chair ?laugh	What does the man do after slide chair ?talk to man	What does the man do after slide chair ?sing into microphone
4 2 TRANS56437 tumblr_nbfgpeU1zK1tz9jaqo1_400 What does the man in red do before shoot ball ?stick out tongue	What does the man in red do before shoot ball ?blow a kiss	What does the man in red do before shoot ball ?receive ball	What does the man in red do before shoot ball ?knock other guy over	What does the man in red do before shoot ball ?jump
2 0 TRANS23939 tumblr_na5nxkhvGS1ti5broo1_500 What does the man do before lick finger ?pray	What does the man do before lick finger ?spin out	What does the man do before lick finger ?slightly move to the right	What does the man do before lick finger ?swing a stick	What does the man do before lick finger ?punch
1 2 TRANS32872 tumblr_nglb9d1D1O1tbjx0uo1_500 What does the smiling woman do after turn body ?watch	What does the smiling woman do after turn body ?slide hand off from face	What does the smiling woman do after turn body ?raise eyebrows	What does the smiling woman do after turn body ?inside car	What does the smiling woman do after turn body ?left leg over right
4 3 TRANS29741 tumblr_ncce6eafkp1qkbofio1_400 What does the left man do before walk away ?fight over prey with another dragon	What does the left man do before walk away ?chase hockey player in white	What does the left man do before walk away ?ride a motocycle	What does the left man do before walk away ?touch man	What does the left man do before walk away ?pose for a picture
3 1 TRANS39886 tumblr_njni41Nt6Y1th7wxvo1_1280 What does the person who wear a blue clothe do after run ?raise hand	What does the person who wear a blue clothe do after run ?vomit	What does the person who wear a blue clothe do after run ?step to the side	What does the person who wear a blue clothe do after run ?swing around a pole	What does the person who wear a blue clothe do after run ?open mouth
0 3 TRANS45368 tumblr_njm9ophE741t7an45o1_500 What does the woman do after hang upside down ?point to left	What does the woman do after hang upside down ?run into rail	What does the woman do after hang upside down ?have lips part	What does the woman do after hang upside down ?kiss man	What does the woman do after hang upside down ?raise eyebrows
2 1 TRANS12014 tumblr_ngabmmLBSp1u5puiqo1_250 What does the man do after look away ?blank	What does the man do after look away ?raise eyebrows	What does the man do after look away ?stare at dad	What does the man do after look away ?spray web at mail cart	What does the man do after look away ?glass on
4 1 TRANS23863 tumblr_n9hor8PGrA1sk0i2mo1_400 What does the woman who wear a red clothe do before swing elbow toward a woman ?dance	What does the woman who wear a red clothe do before swing elbow toward a woman ?get grabbed by a person	What does the woman who wear a red clothe do before swing elbow toward a woman ?blink	What does the woman who wear a red clothe do before swing elbow toward a woman ?pose arm	What does the woman who wear a red clothe do before swing elbow toward a woman ?twist board
1 4 TRANS36527 tumblr_nnzz2eyFYT1tvo8x5o1_500 What does the man do before shoot confetti ?lean forward	What does the man do before shoot confetti ?hide on ceiling	What does the man do before shoot confetti ?touch cheek	What does the man do before shoot confetti ?draw finger smile	What does the man do before shoot confetti ?ride in back seat
2 3 TRANS39648 tumblr_no7fakJX6s1r5uv3zo1_400 What does the man do after eat ?kick ball	What does the man do after eat ?run	What does the man do after eat ?hit a mirror many time	What does the man do after eat ?smile	What does the man do after eat ?drop back down
0 3 TRANS22850 tumblr_najpjmYwHh1tjcbnvo1_400 What does the woman do after sit ?fold arms	What does the woman do after sit ?sink under water	What does the woman do after sit ?clear throat	What does the woman do after sit ?dance in place	What does the woman do after sit ?fix hair
0 3 TRANS58398 tumblr_nhkoxqBeA41qik8zvo1_500 What does the man on right do after sit ?point finger	What does the man on right do after sit ?close mouth	What does the man on right do after sit ?run away from camera	What does the man on right do after sit ?shake hand with other man	What does the man on right do after sit ?catch a ball
4 2 TRANS31250 tumblr_na0s23vugd1sft9vjo1_250 What does the woman do after stare at a man ?lean over	What does the woman do after stare at a man ?smile	What does the woman do after stare at a man ?throw book to the ground	What does the woman do after stare at a man ?begin singing	What does the woman do after stare at a man ?slowly turn head around
4 1 TRANS53817 tumblr_nfp4b2x9EH1qe40x5o1_500 What does the man do before smile ?lay in pit	What does the man do before smile ?watch	What does the man do before smile ?run	What does the man do before smile ?throw head left	What does the man do before smile ?touch face
0 1 TRANS34756 tumblr_nksnvrya2s1suheswo1_400 What does the biker do after ride behind the others ?slide down stairs	What does the biker do after ride behind the others ?give a biker a high five	What does the biker do after ride behind the others ?falling	What does the biker do after ride behind the others ?swing arm	What does the biker do after ride behind the others ?slowly slink downwards
1 3 TRANS32367 tumblr_n90x2fuBVp1skm6iho1_250 What does the boy in the center do before look left ?stay still	What does the boy in the center do before look left ?hide behind man	What does the boy in the center do before look left ?eat something	What does the boy in the center do before look left ?wave head	What does the boy in the center do before look left ?play the piano
3 2 TRANS38298 tumblr_nl0cd5Bk491tfadmzo1_400 What does the first man do after show ?kick dog	What does the first man do after show ?shake head	What does the first man do after show ?view change to second man	What does the first man do after show ?kiss guy	What does the first man do after show ?cry out in pain
2 0 TRANS25646 tumblr_nhjoyzQcjX1shw3clo1_400 What does the man do after look at ornament ?adjust ornament	What does the man do after look at ornament ?rock upward	What does the man do after look at ornament ?man move eye back and forth	What does the man do after look at ornament ?walk	What does the man do after look at ornament ?kiss the woman
4 3 TRANS30412 tumblr_na93v8P17F1rnq510o1_500 What does the man do after dance ?looking down	What does the man do after dance ?open mouth	What does the man do after dance ?man rolling eyes	What does the man do after dance ?spin chain	What does the man do after dance ?hug a woman
0 2 TRANS755 tumblr_nbi0u01XqX1qje303o1_250 What does the woman do before kiss a guy ?signal come on	What does the woman do before kiss a guy ?don headphones	What does the woman do before kiss a guy ?upside down	What does the woman do before kiss a guy ?dance to the left	What does the woman do before kiss a guy ?dim
0 1 TRANS33425 tumblr_nklw53j39a1r73l22o1_400 What does the man do before start jump ?sing	What does the man do before start jump ?point with one hand	What does the man do before start jump ?shake head	What does the man do before start jump ?kiss someone	What does the man do before start jump ?breathe
0 3 TRANS26604 tumblr_ncxq06FwqF1sxw8kro1_250 What does the man do after look down ?stare in shock	What does the man do after look down ?slide downward	What does the man do after look down ?snap a photo with camera	What does the man do after look down ?raise brow	What does the man do after look down ?slip off the car
1 3 TRANS47685 tumblr_nba6q7knEq1t7jda2o1_400 What does the man in green do before start run ?blow smoke	What does the man in green do before start run ?kick	What does the man in green do before start run ?smile	What does the man in green do before start run ?stand still	What does the man in green do before start run ?start laughing
1 0 TRANS44880 tumblr_nf18fyRI9U1u3d6s7o1_500 What does the boy do after look into girlfriend's eye ?stroke cheek	What does the boy do after look into girlfriend's eye ?look up quickly	What does the boy do after look into girlfriend's eye ?talk something with a mic	What does the boy do after look into girlfriend's eye ?pick up flag	What does the boy do after look into girlfriend's eye ?stand next to car
3 2 TRANS42078 tumblr_njb0rpCsKz1tzc1tgo1_500 What does the woman do after lean back ?touch hair	What does the woman do after lean back ?smile	What does the woman do after lean back ?fall in the water	What does the woman do after lean back ?spin around	What does the woman do after lean back ?ride a skateboard
2 4 TRANS4546 tumblr_ne7h1vzN8l1u2ukd5o1_400 What does the man do after rub boy's head ?flail both arm wildly	What does the man do after rub boy's head ?skate	What does the man do after rub boy's head ?inhale cigerette	What does the man do after rub boy's head ?above the hand	What does the man do after rub boy's head ?hug boy
3 0 TRANS15169 tumblr_nqxdsn2yZB1r2lnvfo1_400 What does the woman do before point up ?have hand in jacuzzi	What does the woman do before point up ?chew food	What does the woman do before point up ?slap friend's leg	What does the woman do before point up ?lick lips	What does the woman do before point up ?hop toward a man
4 0 TRANS28490 tumblr_nglax486gU1u3jifro1_250 What does the woman do after smile ?lean head over	What does the woman do after smile ?play guitar	What does the woman do after smile ?watch	What does the woman do after smile ?fly	What does the woman do after smile ?show peace sign
1 2 TRANS47800 tumblr_nk9ofu1ePx1tv1rs8o1_400 What does the man do after say something ?touch pocket	What does the man do after say something ?smile	What does the man do after say something ?fall from chair	What does the man do after say something ?talk	What does the man do after say something ?laugh
3 4 TRANS21674 tumblr_nkvpzrOoIg1qeh6x6o1_1280 What does the motorcycle do after fly toward camera ?kiss girl on right	What does the motorcycle do after fly toward camera ?awake	What does the motorcycle do after fly toward camera ?sing	What does the motorcycle do after fly toward camera ?shoot it	What does the motorcycle do after fly toward camera ?reverse away from camera
2 0 TRANS15059 tumblr_nodi2rLQXk1tselino1_400 What does the woman on right do before fold right arm ?hit someone's hand	What does the woman on right do before fold right arm ?chew peanut butter	What does the woman on right do before fold right arm ?rub hand together	What does the woman on right do before fold right arm ?lean sideways	What does the woman on right do before fold right arm ?remove shirt
4 0 TRANS23654 tumblr_ncim8iEoJm1t1j3czo1_400 What does the man do after point finger at himself ?laugh	What does the man do after point finger at himself ?lower head	What does the man do after point finger at himself ?shift eye	What does the man do after point finger at himself ?on a mountain	What does the man do after point finger at himself ?cover eye with palm
3 4 TRANS26598 tumblr_nbk8k4hX2i1sggdd3o1_250 What does the man with a large hat do after laugh ?become scared	What does the man with a large hat do after laugh ?run	What does the man with a large hat do after laugh ?on back	What does the man with a large hat do after laugh ?find something from a bag	What does the man with a large hat do after laugh ?clap
3 0 TRANS193 tumblr_nl1qwlz8xh1qzikwgo1_500 What does the woman do before leave from the screen ?wave hand	What does the woman do before leave from the screen ?disappoint	What does the woman do before leave from the screen ?kneel	What does the woman do before leave from the screen ?wrestle another boy	What does the woman do before leave from the screen ?cover mouth with hand
0 3 TRANS54582 tumblr_nd8dp4ELQI1tkatv1o1_500 What does the boy on left do after look at boy ?look left	What does the boy on left do after look at boy ?talk	What does the boy on left do after look at boy ?smile	What does the boy on left do after look at boy ?tap boy with finger	What does the boy on left do after look at boy ?fall down on a ground
0 3 TRANS45367 tumblr_njm9ophE741t7an45o1_500 What does the woman do before kiss man ?face away from male partner	What does the woman do before kiss man ?step in snow	What does the woman do before kiss man ?raise two finger	What does the woman do before kiss man ?hang upside down	What does the woman do before kiss man ?turns head
3 2 TRANS51615 tumblr_nakmlyurfi1t0cxw9o1_400 What does the man on left do before get hit and fall down ?shake head	What does the man on left do before get hit and fall down ?hang himself on stick	What does the man on left do before get hit and fall down ?approach to a man on right	What does the man on left do before get hit and fall down ?grab guy's arm	What does the man on left do before get hit and fall down ?blow a kiss
3 2 TRANS17336 tumblr_na8pbmpnft1trwsfoo1_250 What does the man do after put on novelty glass ?sing	What does the man do after put on novelty glass ?spread arm	What does the man do after put on novelty glass ?lock fingers together	What does the man do after put on novelty glass ?smile	What does the man do after put on novelty glass ?cheer
4 2 TRANS533 tumblr_ngu7wk7EeC1qeyudjo1_250 What does the woman do before celebrate ?enjoys massage	What does the woman do before celebrate ?sing	What does the woman do before celebrate ?remove a bar from a game	What does the woman do before celebrate ?surf up wave	What does the woman do before celebrate ?wave
3 0 TRANS49160 tumblr_n8tpxstbsq1rtoccto1_500 What does the woman do after look to side ?open mouth	What does the woman do after look to side ?shake fists	What does the woman do after look to side ?laugh	What does the woman do after look to side ?smile	What does the woman do after look to side ?kick a ball
3 1 TRANS20473 tumblr_nefe46IPQf1tjiaa2o1_400 What does the man in white do before start to play ?snap finger	What does the man in white do before start to play ?raise guitar	What does the man in white do before start to play ?glance right	What does the man in white do before start to play ?punch man	What does the man in white do before start to play ?brush hair
0 3 TRANS39471 tumblr_nhvbgxJW4s1u6lo1go1_400 What does the boy do before open the book ?see the whale	What does the boy do before open the book ?open eye	What does the boy do before open the book ?close legs together	What does the boy do before open the book ?toss	What does the boy do before open the book ?ride on sidewalk
0 3 TRANS32038 tumblr_n932r0pFvS1tuatvvo1_400 What does the woman with a red clothe do after pick up hat ?stay stick at the entrance	What does the woman with a red clothe do after pick up hat ?lean head down	What does the woman with a red clothe do after pick up hat ?eat foods	What does the woman with a red clothe do after pick up hat ?wave	What does the woman with a red clothe do after pick up hat ?lose hat
3 4 TRANS17704 tumblr_nki8qfoycZ1sgic9fo1_400 What does the man do after smile ?bend knee	What does the man do after smile ?finger bang	What does the man do after smile ?lift another ball	What does the man do after smile ?blink eyes	What does the man do after smile ?talk
1 2 TRANS37648 tumblr_nojismJxtD1r90etqo1_400 What does the man do after strike person ?draw heart	What does the man do after strike person ?lean body backward	What does the man do after strike person ?fix hair	What does the man do after strike person ?kiss collar	What does the man do after strike person ?walk toward camera
1 3 TRANS10829 tumblr_nba4zsrstP1thacl7o1_500 What does the man do before put down shirts ?raise eyebrows	What does the man do before put down shirts ?dance	What does the man do before put down shirts ?twirl around	What does the man do before put down shirts ?brush hair	What does the man do before put down shirts ?read book
4 2 TRANS9078 tumblr_nkpquj0Nyh1u9h6d6o1_250 What does the boy on stage do after stare into distance ?stroke hair	What does the boy on stage do after stare into distance ?smoke	What does the boy on stage do after stare into distance ?surprise byt object throw	What does the boy on stage do after stare into distance ?grin	What does the boy on stage do after stare into distance ?lean to side
3 0 TRANS14792 tumblr_nd1lzaN9G21tp02izo1_400 What does the bear do after playing a horn ?walking	What does the bear do after playing a horn ?adjust hat	What does the bear do after playing a horn ?add double-handed point with lean	What does the bear do after playing a horn ?freeze in mid-air	What does the bear do after playing a horn ?remove blindfold
3 2 TRANS14144 tumblr_n8xaa8ScfH1rhhof0o1_500 What does the lady do after lick spoon ?smash the phone	What does the lady do after lick spoon ?scare	What does the lady do after lick spoon ?lower spoon	What does the lady do after lick spoon ?spit out pacifier	What does the lady do after lick spoon ?dance
0 2 TRANS16926 tumblr_n9llw0Lhan1ssrs2uo1_400 What does the woman on right do after look at man on left ?smile	What does the woman on right do after look at man on left ?sleep	What does the woman on right do after look at man on left ?push man on left	What does the woman on right do after look at man on left ?smell ground	What does the woman on right do after look at man on left ?sky down the hill
1 3 TRANS14545 tumblr_nnkrgy251a1uupqewo1_400 What does the man do before wipe other man head ?clean face	What does the man do before wipe other man head ?remove helmet	What does the man do before wipe other man head ?curb	What does the man do before wipe other man head ?dance	What does the man do before wipe other man head ?lower body down
2 0 TRANS56005 tumblr_n94g0xApdN1rqb3bqo1_500 What does the man do before hug him ?high fives another man	What does the man do before hug him ?grab straw	What does the man do before hug him ?smile at camera	What does the man do before hug him ?lay on left side	What does the man do before hug him ?talk to other guy
2 0 TRANS21224 tumblr_nhxyrmRV2x1u7lk74o1_400 What does the woman do after talk into headset ?wave hand	What does the woman do after talk into headset ?drink water	What does the woman do after talk into headset ?lose hold of gun	What does the woman do after talk into headset ?hide in can	What does the woman do after talk into headset ?eat noodles
4 0 TRANS12970 tumblr_nc5l1vCwUU1rjtfuuo1_400 What does the man do after flip a skateboard ?land on the skateboard	What does the man do after flip a skateboard ?clap	What does the man do after flip a skateboard ?shave face	What does the man do after flip a skateboard ?smile	What does the man do after flip a skateboard ?spin on pole
0 2 TRANS50488 tumblr_nbz9evJpXZ1tgqwj8o1_250 What does the woman do after close eye ?open eyes wide	What does the woman do after close eye ?raise eyebrows	What does the woman do after close eye ?blink rapidly	What does the woman do after close eye ?run	What does the woman do after close eye ?talk
1 3 TRANS41225 tumblr_njy2ahhYsH1u3y1g4o1_250 What does the man in costume do before take off mask ?spin	What does the man in costume do before take off mask ?run	What does the man in costume do before take off mask ?start move	What does the man in costume do before take off mask ?hug man	What does the man in costume do before take off mask ?have a broad smile
4 3 TRANS45516 tumblr_nc1y3bI5fF1trrm20o1_400 What does the woman do after kiss ?happy	What does the woman do after kiss ?pick up blue ring first	What does the woman do after kiss ?kick ball	What does the woman do after kiss ?rise up	What does the woman do after kiss ?smile
4 0 TRANS9649 tumblr_no3swt5pjq1s6ooqoo1_250 What does the empty glass do before become full of wine ?fill with wine	What does the empty glass do before become full of wine ?wave hand	What does the empty glass do before become full of wine ?ride the motorcycle	What does the empty glass do before become full of wine ?stun	What does the empty glass do before become full of wine ?attacks the toy
