4 1 TRANS10165 tumblr_na0tm0ReHw1tj7hseo1_250 What does the woman do before talk ?lick lips	What does the woman do before talk ?wave	What does the woman do before talk ?sway on road	What does the woman do before talk ?sniff fire	What does the woman do before talk ?lean forward
3 1 TRANS37168 tumblr_nbjpqqS4a51rq7z0to1_500 What does the girl do after cry ?run on rooftop	What does the girl do after cry ?hug baby	What does the girl do after cry ?begin to smile	What does the girl do after cry ?start smile	What does the girl do after cry ?spin out
2 1 TRANS37342 tumblr_nogkhlzgRK1uvi76ao1_500 What does the right man do after hug man ?talk	What does the right man do after hug man ?lift him up	What does the right man do after hug man ?shoot man	What does the right man do after hug man ?pretend to drink tea underwater	What does the right man do after hug man ?turned
0 3 TRANS19223 tumblr_n9alzxzCZo1rf023bo1_400 What does the man do before move hand ?sing into microphone	What does the man do before move hand ?play to drive a car	What does the man do before move hand ?cover face	What does the man do before move hand ?lean back	What does the man do before move hand ?fly
1 3 TRANS51508 tumblr_n8t77uLMSw1tgftffo1_1280 What does the man on left do after turn head ?stick out tongue	What does the man on left do after turn head ?grab something	What does the man on left do after turn head ?run by two wheel	What does the man on left do after turn head ?speak	What does the man on left do after turn head ?throw ball
1 0 TRANS56872 tumblr_nk50qbAqRO1t0m9wio1_500 What does the girl do after move backward ?open eye	What does the girl do after move backward ?smile	What does the girl do after move backward ?throw man	What does the girl do after move backward ?stick out arm	What does the girl do after move backward ?blow smoke
0 2 TRANS21108 tumblr_ndt8izVm3e1u1pi4oo1_400 What does the man do after tongue rub against teeth ?lower hand	What does the man do after tongue rub against teeth ?run to a car	What does the man do after tongue rub against teeth ?smile	What does the man do after tongue rub against teeth ?drive	What does the man do after tongue rub against teeth ?on the counter
0 3 TRANS14727 tumblr_njttisuY3u1unjl1mo1_250 What does the guy do before smile ?taste something	What does the guy do before smile ?rub hand	What does the guy do before smile ?cover face	What does the guy do before smile ?jump	What does the guy do before smile ?smoke go back in mouth
4 1 TRANS17340 tumblr_n8rnwltUJl1rj9gnoo1_400 What does the man do after hold hand to face ?run out of the screen	What does the man do after hold hand to face ?smile	What does the man do after hold hand to face ?land in snow	What does the man do after hold hand to face ?lower hand	What does the man do after hold hand to face ?remove hand from neck
1 3 TRANS27484 tumblr_n8ott1a35b1tgkdkbo1_400 What does the person do after make a shock wave ?fix shirt	What does the person do after make a shock wave ?flip off track	What does the person do after make a shock wave ?stare someone	What does the person do after make a shock wave ?spread right fingers	What does the person do after make a shock wave ?punch guy
4 3 TRANS15624 tumblr_n8vnfnID7o1tepekso1_400 What does the man do after wave hand ?pee	What does the man do after wave hand ?slap lady	What does the man do after wave hand ?yell	What does the man do after wave hand ?form heart	What does the man do after wave hand ?nod head
3 4 TRANS30876 tumblr_neko3rdy1l1s1pgzio1_500 What does the man on left do after pump fist ?change to neutral	What does the man on left do after pump fist ?lift front tire	What does the man on left do after pump fist ?raise eyebrow	What does the man on left do after pump fist ?step back	What does the man on left do after pump fist ?spit out substance
3 2 TRANS10843 tumblr_n8qp6qt1ZD1qa2n7ao1_400 What does the woman do before bend head towards right shoulder ?straighten collar	What does the woman do before bend head towards right shoulder ?paw at the computer	What does the woman do before bend head towards right shoulder ?roll eye	What does the woman do before bend head towards right shoulder ?smiles	What does the woman do before bend head towards right shoulder ?twirl the phone
3 4 TRANS41023 tumblr_nioqfprXtM1u1ok9so1_400 What does the man do before run finger through hair ?cry	What does the man do before run finger through hair ?walk forward	What does the man do before run finger through hair ?laugh at something	What does the man do before run finger through hair ?talk into microphone	What does the man do before run finger through hair ?cover face
0 3 TRANS53956 tumblr_nfcce89zzc1tubwqbo1_400 What do the singer who wears a white cloth do after sing and dance ?look left	What do the singer who wears a white cloth do after sing and dance ?smile and lower hand	What do the singer who wears a white cloth do after sing and dance ?walk on the street	What do the singer who wears a white cloth do after sing and dance ?push another singer	What do the singer who wears a white cloth do after sing and dance ?talk
0 2 TRANS32082 tumblr_nb1gvnLVNH1rwomrpo1_250 What does the man do after find something ?slap a man	What does the man do after find something ?hug guy	What does the man do after find something ?fall down	What does the man do after find something ?smile	What does the man do after find something ?listen to phone
1 0 TRANS23936 tumblr_nhdr3clKDa1sntw1mo1_400 What does the dog do after look at shelf ?smile later with tongue out	What does the dog do after look at shelf ?run	What does the dog do after look at shelf ?lower head	What does the dog do after look at shelf ?drive foward	What does the dog do after look at shelf ?on camera
1 2 TRANS50169 tumblr_nknodg8h931slwpo8o1_250 What does the cat do before stand up ?touch man's back	What does the cat do before stand up ?pick up cat	What does the cat do before stand up ?lie down	What does the cat do before stand up ?start smile	What does the cat do before stand up ?grab shirt
4 0 TRANS28628 tumblr_nkwg77Ux711r5ygbco1_250 What does the dog do after follow hand ?eat snow	What does the dog do after follow hand ?slide	What does the dog do after follow hand ?slip from rope	What does the dog do after follow hand ?cross the street	What does the dog do after follow hand ?bounce head
2 1 TRANS57970 tumblr_nfgkpzxpv01qclz9ho1_1280 What does the woman do after cut fabric ?close a door	What does the woman do after cut fabric ?yell	What does the woman do after cut fabric ?fall on face	What does the woman do after cut fabric ?look surprise	What does the woman do after cut fabric ?run
1 0 TRANS18371 tumblr_ni0g2ztIwU1u2kzbjo2_400 What does the man do before lick lips ?talk	What does the man do before lick lips ?brush eye	What does the man do before lick lips ?dip head	What does the man do before lick lips ?lift hand	What does the man do before lick lips ?punch the bag
0 3 TRANS45368 tumblr_njm9ophE741t7an45o1_500 What does the woman do after hang upside down ?point to left	What does the woman do after hang upside down ?run into rail	What does the woman do after hang upside down ?have lips part	What does the woman do after hang upside down ?kiss man	What does the woman do after hang upside down ?raise eyebrows
3 2 TRANS54407 tumblr_nr8fuwKi3C1svfwd4o1_500 What does the woman do before flip head back up ?point	What does the woman do before flip head back up ?face to the left	What does the woman do before flip head back up ?hang head	What does the woman do before flip head back up ?touch man's face	What does the woman do before flip head back up ?smile
2 0 TRANS15059 tumblr_nodi2rLQXk1tselino1_400 What does the woman on right do before fold right arm ?hit someone's hand	What does the woman on right do before fold right arm ?chew peanut butter	What does the woman on right do before fold right arm ?rub hand together	What does the woman on right do before fold right arm ?lean sideways	What does the woman on right do before fold right arm ?remove shirt
4 0 TRANS12539 tumblr_nbpdkq8bCR1qj7ylio1_250 What does the man on the right do before look forward ?talk to someone	What does the man on the right do before look forward ?blink eyes	What does the man on the right do before look forward ?lift arm up	What does the man on the right do before look forward ?pin other man	What does the man on the right do before look forward ?cross arm
4 3 TRANS2379 tumblr_n9hseziTAg1rk979lo1_250 What does the guy in back do before hide ?twirl pool cue	What does the guy in back do before hide ?motor in the water	What does the guy in back do before hide ?record the stage	What does the guy in back do before hide ?sneak up behind	What does the guy in back do before hide ?support friend
0 2 TRANS34336 tumblr_nq3l4pzkwU1sht3fmo1_400 What does the monkey do after cover face ?blow a candle	What does the monkey do after cover face ?reach up	What does the monkey do after cover face ?type	What does the monkey do after cover face ?smile	What does the monkey do after cover face ?wake up after he fall
3 1 TRANS39886 tumblr_njni41Nt6Y1th7wxvo1_1280 What does the person who wear a blue clothe do after run ?raise hand	What does the person who wear a blue clothe do after run ?vomit	What does the person who wear a blue clothe do after run ?step to the side	What does the person who wear a blue clothe do after run ?swing around a pole	What does the person who wear a blue clothe do after run ?open mouth
1 3 TRANS16573 tumblr_n9be6dLXnx1ts5qqbo1_400 What does the lady do before move hand over mouth ?concentrate on something	What does the lady do before move hand over mouth ?shake head	What does the lady do before move hand over mouth ?spin around	What does the lady do before move hand over mouth ?open mouth	What does the lady do before move hand over mouth ?grind skateboard around ramp
3 4 TRANS52233 tumblr_nl3ljyQlT21u34u6eo1_500 What does the girl do before change position ?start foam	What does the girl do before change position ?run	What does the girl do before change position ?point at camera	What does the girl do before change position ?raise hand	What does the girl do before change position ?kiss boy
2 0 TRANS22527 tumblr_nqmicwQywL1s4vjdko1_400 What does the woman do before touch hair ?spin	What does the woman do before touch hair ?beside chair	What does the woman do before touch hair ?open eyes wide	What does the woman do before touch hair ?hug a person with c label	What does the woman do before touch hair ?sign
2 4 TRANS12448 tumblr_ncusywWoFr1skzykeo1_250 What does the man on right do after stare down ?blink	What does the man on right do after stare down ?blank face	What does the man on right do after stare down ?stare at boy	What does the man on right do after stare down ?pop bubble	What does the man on right do after stare down ?raise right hand
4 3 TRANS28513 tumblr_nch7clLs5L1tmllzbo1_250 What does the man do before smile ?shake head	What does the man do before smile ?beat hand to the air	What does the man do before smile ?chase a truck	What does the man do before smile ?open door	What does the man do before smile ?sick
2 1 TRANS43420 tumblr_nr7badeW1R1uaavsyo1_500 What does the man do after smile ?step backwards	What does the man do after smile ?drink beer	What does the man do after smile ?move closer together	What does the man do after smile ?flip jacket collar	What does the man do after smile ?turning to side
1 2 TRANS17105 tumblr_nkxhmpEcZq1scd4jmo1_250 What do the woman in polka dots do before open mouth ?bare	What do the woman in polka dots do before open mouth ?brush hair	What do the woman in polka dots do before open mouth ?stop on ground	What do the woman in polka dots do before open mouth ?dance	What do the woman in polka dots do before open mouth ?holds up another man
2 0 TRANS35978 tumblr_ngc5q2xB581thb2ogo1_500 What does the man do after wave stick ?shake body	What does the man do after wave stick ?open	What does the man do after wave stick ?play drum	What does the man do after wave stick ?close legs	What does the man do after wave stick ?reach forward
3 2 TRANS7653 tumblr_n9umi6YLsx1sp3tvqo1_400 What does the girl do before take a drink ?cover face with hand	What does the girl do before take a drink ?skate over step	What does the girl do before take a drink ?bounce	What does the girl do before take a drink ?swivel drum stick in air	What does the girl do before take a drink ?shrug
1 3 TRANS52086 tumblr_n9wkpeXC991re6qqko1_500 What does the man do after raise head ?hand stand	What does the man do after raise head ?grab nose	What does the man do after raise head ?blow out smoke	What does the man do after raise head ?talk to a woman	What does the man do after raise head ?fall into the mud
4 3 TRANS5006 tumblr_ng84tyTrSL1r9cyrjo1_400 What does the cigarette do after stay smoked ?paw girl	What does the cigarette do after stay smoked ?swing arm	What does the cigarette do after stay smoked ?wink	What does the cigarette do after stay smoked ?burn and smoked by a person	What does the cigarette do after stay smoked ?scrunch lip up
1 2 TRANS12210 tumblr_nc0l2nbHVE1t3ghero1_250 What do the man with headphones do after sing ?pitch ball at pin	What do the man with headphones do after sing ?blink eyes	What do the man with headphones do after sing ?bear teeth	What do the man with headphones do after sing ?flip surfboard	What do the man with headphones do after sing ?score goal
1 3 TRANS19604 tumblr_nr5189zMVE1tewmvuo1_400 What does the woman do after look forward ?nod	What does the woman do after look forward ?shake head	What does the woman do after look forward ?toss hair	What does the woman do after look forward ?open mouth	What does the woman do after look forward ?fade from red
4 2 TRANS533 tumblr_ngu7wk7EeC1qeyudjo1_250 What does the woman do before celebrate ?enjoys massage	What does the woman do before celebrate ?sing	What does the woman do before celebrate ?remove a bar from a game	What does the woman do before celebrate ?surf up wave	What does the woman do before celebrate ?wave
4 0 TRANS39211 tumblr_nnncvfE8HF1r1zo9yo1_400 What does the boy with striped shirt do before wear expression of shock ?watch calmly	What does the boy with striped shirt do before wear expression of shock ?lift arm	What does the boy with striped shirt do before wear expression of shock ?raise hand	What does the boy with striped shirt do before wear expression of shock ?roll eye	What does the boy with striped shirt do before wear expression of shock ?reach for the woman
1 0 TRANS52961 tumblr_ndlpxdOjzF1secmhko1_500 What does the old man do before close eye and shake head ?stand	What does the old man do before close eye and shake head ?smile	What does the old man do before close eye and shake head ?blow kiss towards camera	What does the old man do before close eye and shake head ?start talk	What does the old man do before close eye and shake head ?catch a fish
2 3 TRANS18103 tumblr_nbhensx8fu1rj259ko1_400 What does the girl do before nod head ?tip toe down step	What does the girl do before nod head ?remove hood	What does the girl do before nod head ?brush hair	What does the girl do before nod head ?sing	What does the girl do before nod head ?lower chair
0 2 TRANS54787 tumblr_nd7ayeMF8B1ty34oqo1_500 What does the man do before turn away ?touch hair	What does the man do before turn away ?smile and shake body	What does the man do before turn away ?raise eyebraws	What does the man do before turn away ?pick up bottle	What does the man do before turn away ?stick out tongue
2 3 TRANS19350 tumblr_n9e5kmjc6O1stz49yo1_400 What does the woman do after look over shoulder ?ride a bike	What does the woman do after look over shoulder ?spin around	What does the woman do after look over shoulder ?fix hair	What does the woman do after look over shoulder ?face forward	What does the woman do after look over shoulder ?fly
1 3 TRANS11261 tumblr_nkwl97wGJ71uo3r99o1_500 What does the lady do before turn left ?shoot gun	What does the lady do before turn left ?sing into a microphone	What does the lady do before turn left ?swing bat	What does the lady do before turn left ?wipe tear	What does the lady do before turn left ?play the keyboard
0 4 TRANS47586 tumblr_nhnn659Pax1r3k2tko1_500 What does the woman do after touch hair ?raise hand	What does the woman do after touch hair ?run	What does the woman do after touch hair ?kick it into the air	What does the woman do after touch hair ?drop mic	What does the woman do after touch hair ?smile
4 2 TRANS31624 tumblr_ne30ri29Kw1teqeajo1_500 What do the man with a white pants do after wrap arm around head ?watch other talk	What do the man with a white pants do after wrap arm around head ?dance	What do the man with a white pants do after wrap arm around head ?lay on ground	What do the man with a white pants do after wrap arm around head ?miss high five	What do the man with a white pants do after wrap arm around head ?bounce on trampoline
0 2 TRANS55181 tumblr_nd1l821BOf1tkin16o1_500 What does the man do before pull in ?walk toward kneel man	What does the man do before pull in ?smile	What does the man do before pull in ?hold girl	What does the man do before pull in ?talk	What does the man do before pull in ?jump into the air
2 3 TRANS23018 tumblr_nqivtqoJ981u6krjho1_500 What does the woman do after brush face ?leap in air	What does the woman do after brush face ?wave arm in the air	What does the woman do after brush face ?rub eye	What does the woman do after brush face ?look down	What does the woman do after brush face ?overcome the hall
4 3 TRANS35755 tumblr_ndd0liU8F51u0bmj8o1_250 What does the person on the right do before lower their arm ?raise head up	What does the person on the right do before lower their arm ?ride a skateboard in ground	What does the person on the right do before lower their arm ?eat cracker	What does the person on the right do before lower their arm ?touch their face	What does the person on the right do before lower their arm ?walk
0 2 TRANS1051 tumblr_ngvhms78FN1qkzi04o1_250 What does the man do before turn head away ?swipe hair with thumb	What does the man do before turn head away ?disgust	What does the man do before turn head away ?nod head	What does the man do before turn head away ?smoke a cigarette	What does the man do before turn head away ?peddle upright
1 4 TRANS25600 tumblr_ndw164NVKb1slj978o1_400 What does the man do after look at man ?sign	What does the man do after look at man ?follow other girl	What does the man do after look at man ?raise eyebrows	What does the man do after look at man ?continue to stand in the rain	What does the man do after look at man ?butt head
1 4 TRANS14230 tumblr_nb0u0kCLwc1rn11fao1_250 What does the man do after jump to lower land ?splash	What does the man do after jump to lower land ?cook	What does the man do after jump to lower land ?pet the critter	What does the man do after jump to lower land ?remove glass	What does the man do after jump to lower land ?lie on the ground
0 3 TRANS34836 tumblr_n8vjmktTSM1s6v7m4o1_1280 What does the woman do after stand still ?hug him	What does the woman do after stand still ?bite lip	What does the woman do after stand still ?bend	What does the woman do after stand still ?start twirl	What does the woman do after stand still ?kiss girl
3 4 TRANS2272 tumblr_n9qd1qoOI61svqyado1_250 What does the man in a winter coat do after jump down front step ?bark at water	What does the man in a winter coat do after jump down front step ?peek around person	What does the man in a winter coat do after jump down front step ?clap hands	What does the man in a winter coat do after jump down front step ?crawl out of a car	What does the man in a winter coat do after jump down front step ?look to the side
1 4 TRANS19951 tumblr_ne7zv39Cep1stoqt2o1_400 What does the woman do before smile ?press body against taller guy	What does the woman do before smile ?cover mouth with hand	What does the woman do before smile ?lower camera	What does the woman do before smile ?run	What does the woman do before smile ?stare
1 0 TRANS27189 tumblr_nh9b274vx41u6gjwao1_500 What does the couple do before kiss slowly ?stand close	What does the couple do before kiss slowly ?lick finger	What does the couple do before kiss slowly ?sleep in a bed	What does the couple do before kiss slowly ?fix friends dress	What does the couple do before kiss slowly ?smoke a cigarette
0 4 TRANS54117 tumblr_ndrwj65Ync1tvhg9no1_500 What does the woman do before stand still ?throw elbow	What does the woman do before stand still ?smile	What does the woman do before stand still ?touch face	What does the woman do before stand still ?walk from behind a woman	What does the woman do before stand still ?move
2 1 TRANS38600 tumblr_nq9tkzX6Mn1syyvtvo1_400 What does the woman do after turning ?eat popcorn	What does the woman do after turning ?leaning backward	What does the woman do after turning ?shoot	What does the woman do after turning ?run into ditch	What does the woman do after turning ?to run outside
3 2 TRANS28786 tumblr_nfpvh9ebBo1r7tnfno1_500 What does the dog do after look at a box ?become calm	What does the dog do after look at a box ?smoke cigarette	What does the dog do after look at a box ?jump backward	What does the dog do after look at a box ?sleep in bed	What does the dog do after look at a box ?smile
4 2 TRANS28302 tumblr_n9zlvzY5jO1sp3selo1_250 What does the woman with a brown and black Poseidon top do after look straight ahead ?smile	What does the woman with a brown and black Poseidon top do after look straight ahead ?laugh	What does the woman with a brown and black Poseidon top do after look straight ahead ?shift eye to the side	What does the woman with a brown and black Poseidon top do after look straight ahead ?kiss man	What does the woman with a brown and black Poseidon top do after look straight ahead ?sing into microphone
3 2 TRANS58520 tumblr_ngxch41oJy1tkjmmko1_500 What does the woman do after put leg out ?walk with necklace	What does the woman do after put leg out ?smile	What does the woman do after put leg out ?move hand	What does the woman do after put leg out ?throw down an object	What does the woman do after put leg out ?run in
3 0 TRANS19392 tumblr_ngx8i4P8R61rdm91ko1_400 What does the woman do after stick out tongue ?hug cat	What does the woman do after stick out tongue ?run	What does the woman do after stick out tongue ?in goal	What does the woman do after stick out tongue ?rise up	What does the woman do after stick out tongue ?appear at top of the stairs
2 0 TRANS28477 tumblr_napklqSAmm1ti85ceo1_250 What does the man do before blink ?raise eye	What does the man do before blink ?slide	What does the man do before blink ?stare	What does the man do before blink ?slip through door crack	What does the man do before blink ?looks
0 2 TRANS21663 tumblr_n8q7yzPdVO1tspnzbo1_400 What does the woman do before pull hair curl ?brush hair	What does the woman do before pull hair curl ?swing hips	What does the woman do before pull hair curl ?talk on phone	What does the woman do before pull hair curl ?bend over	What does the woman do before pull hair curl ?lift left babel up
2 3 TRANS8275 tumblr_nat8lfrtLm1ttdel3o1_250 What does the man do before dump ice water on himself ?flap arm as chicken	What does the man do before dump ice water on himself ?exhale smoke	What does the man do before dump ice water on himself ?sniff towel	What does the man do before dump ice water on himself ?lift bucket	What does the man do before dump ice water on himself ?celebrate
0 4 TRANS3839 tumblr_nre0xwdee61uyo37eo1_250 What does the woman do before turn head to right ?lean in towards face	What does the woman do before turn head to right ?clutch jacket	What does the woman do before turn head to right ?flip hair while sit back	What does the woman do before turn head to right ?ham on face	What does the woman do before turn head to right ?enter frame
0 4 TRANS38098 tumblr_nhk0bpnU3c1tjhld9o1_400 What does the woman do after throw ball ?walk	What does the woman do after throw ball ?ride off from a cat box	What does the woman do after throw ball ?eat it	What does the woman do after throw ball ?raise eyebrows	What does the woman do after throw ball ?touch mouth
1 0 TRANS38147 tumblr_nc40txavRM1tm4pbeo1_400 What does the man do before start running ?clap hands	What does the man do before start running ?run	What does the man do before start running ?over a vechicle	What does the man do before start running ?reach out arm to grab	What does the man do before start running ?looking at the girl
0 2 TRANS47272 tumblr_ne5w7sROwX1tjdvfuo1_400 What does the kitten do after walk over the bed ?run with a can	What does the kitten do after walk over the bed ?kick ball	What does the kitten do after walk over the bed ?lay down	What does the kitten do after walk over the bed ?flip	What does the kitten do after walk over the bed ?happy
1 2 TRANS42077 tumblr_njb0rpCsKz1tzc1tgo1_500 What does the woman do before fall in the water ?stop	What does the woman do before fall in the water ?hit balloon to other man	What does the woman do before fall in the water ?lean back	What does the woman do before fall in the water ?wait for a musical introduction	What does the woman do before fall in the water ?place a cat on the table
4 0 TRANS12433 tumblr_nauhia4ADE1tfni3oo1_400 What does the man do before object fall ?pass by	What does the man do before object fall ?biting bottom lip	What does the man do before object fall ?peel tape	What does the man do before object fall ?spray the other man	What does the man do before object fall ?cup hand
2 4 TRANS46521 tumblr_neu6uaeLfl1thwotuo1_400 What does the man do before laugh ?point and smile	What does the man do before laugh ?open	What does the man do before laugh ?close mouth	What does the man do before laugh ?run to dive	What does the man do before laugh ?shake fist
3 1 TRANS18317 tumblr_n9hj4wRoaE1tddtydo1_400 What does the woman do before blow a kiss ?kiss that man	What does the woman do before blow a kiss ?count	What does the woman do before blow a kiss ?rock climb	What does the woman do before blow a kiss ?nod their head	What does the woman do before blow a kiss ?embrace another man
4 2 TRANS37297 tumblr_nariz0niLN1tbdnaro1_500 What does the boy in red do before run away ?talk	What does the boy in red do before run away ?raise arm	What does the boy in red do before run away ?light newspaper	What does the boy in red do before run away ?pretend to sip drink	What does the boy in red do before run away ?kick a bottle
2 0 TRANS34090 tumblr_npswm4R1kB1tk15f6o1_400 What does the woman do after sit on fountain ?kiss with a man on a tree	What does the woman do after sit on fountain ?run on beach	What does the woman do after sit on fountain ?stretch hands	What does the woman do after sit on fountain ?carry bucket	What does the woman do after sit on fountain ?change to surf to the right
2 3 TRANS32412 tumblr_n9fxbgYr0K1rvpycko1_250 What does the man on the left do after toast another man ?inside box	What does the man on the left do after toast another man ?slide	What does the man on the left do after toast another man ?watch a person on right explaining	What does the man on the left do after toast another man ?raise left hand	What does the man on the left do after toast another man ?left of the room
2 0 TRANS25386 tumblr_nr9lyoOfEj1rjxehgo1_540 What does the musician do after point fingers in the air ?playing guitar	What does the musician do after point fingers in the air ?lean against wall	What does the musician do after point fingers in the air ?lift finger up	What does the musician do after point fingers in the air ?bend down	What does the musician do after point fingers in the air ?light cigarette
2 0 TRANS31974 tumblr_nioykxiLQG1u78adpo1_250 What does the woman do after try to open door ?knock on door	What does the woman do after try to open door ?long	What does the woman do after try to open door ?change to fret on bottom	What does the woman do after try to open door ?dance	What does the woman do after try to open door ?left
4 1 TRANS31994 tumblr_nb0ddycVlC1rvh5yko1_500 What does the man do after drop a liquid ?roll to side	What does the man do after drop a liquid ?close eye	What does the man do after drop a liquid ?flip	What does the man do after drop a liquid ?dance walk forward	What does the man do after drop a liquid ?slap another man's hand
2 4 TRANS35650 tumblr_nj9u3afOHJ1u182quo1_400 What does the man do after walk forward ?lift head	What does the man do after walk forward ?reach out	What does the man do after walk forward ?point gun	What does the man do after walk forward ?hide behind corner	What does the man do after walk forward ?dance
4 1 TRANS8022 tumblr_nozeurbvJO1ssgyoro1_250 What does the woman do after swing towel over shoulder ?pucker lips	What does the woman do after swing towel over shoulder ?wave hand	What does the woman do after swing towel over shoulder ?thrust hips	What does the woman do after swing towel over shoulder ?cover face	What does the woman do after swing towel over shoulder ?rub head
3 0 TRANS17781 tumblr_nah4qi9p621tg1uwio1_400 What do the sunglasses do before fall off girls head ?on girls head	What do the sunglasses do before fall off girls head ?yell	What do the sunglasses do before fall off girls head ?smile	What do the sunglasses do before fall off girls head ?cheer to camera	What do the sunglasses do before fall off girls head ?shock
1 0 TRANS8206 tumblr_nqg1r8MD9C1tz9jaqo1_250 What does the man do after look left ?blink eyes	What does the man do after look left ?raise eyebrows	What does the man do after look left ?lift herself up	What does the man do after look left ?exhale smoke	What does the man do after look left ?unbutton collar
2 4 TRANS35178 tumblr_nhihfqgnjK1u71wuao1_400 What does the man on left do after talk ?ride a bike up a ramp	What does the man on left do after talk ?run	What does the man on left do after talk ?raise hand	What does the man on left do after talk ?play guitar	What does the man on left do after talk ?stare
3 0 TRANS29052 tumblr_ngjta5hDwR1qju6n5o1_500 What does the man do after run ?look up	What does the man do after run ?drink ceasar beverage	What does the man do after run ?lift brow	What does the man do after run ?bend down	What does the man do after run ?dance
0 1 TRANS10055 tumblr_nck16pEY481rr6t07o1_250 What does the hand do before briefly light on fire ?raise hand	What does the hand do before briefly light on fire ?spray with alchohol	What does the hand do before briefly light on fire ?join their arm	What does the hand do before briefly light on fire ?paw lizard	What does the hand do before briefly light on fire ?show money
1 0 TRANS44392 tumblr_njqkro43rB1unisi8o1_400 What does the woman do after fall down ?cover mouth	What does the woman do after fall down ?walk	What does the woman do after fall down ?laugh	What does the woman do after fall down ?talk	What does the woman do after fall down ?turns a corner
1 0 TRANS25585 tumblr_ndwfjlvnNY1qlfqxco1_250 What does the woman do before look forward ?twist camera	What does the woman do before look forward ?walk	What does the woman do before look forward ?beside car	What does the woman do before look forward ?run away	What does the woman do before look forward ?went to hole
3 1 TRANS30523 tumblr_nh4kp4iSKN1rsfix9o1_500 What does the man do before look up ?dance	What does the man do before look up ?blow cigarette smoke	What does the man do before look up ?lean back	What does the man do before look up ?sing	What does the man do before look up ?walk off
3 1 TRANS34037 tumblr_ncahrts1au1s71nvbo1_400 What does the man do before put on shade ?hit lady	What does the man do before put on shade ?lie down	What does the man do before put on shade ?kick ladies	What does the man do before put on shade ?pick up bottle	What does the man do before put on shade ?swing in the hammock
0 2 TRANS18104 tumblr_nbhensx8fu1rj259ko1_400 What does the girl do after sing ?cover mouth	What does the girl do after sing ?high-fives another person	What does the girl do after sing ?nod head	What does the girl do after sing ?fly off the mattress	What does the girl do after sing ?trap a ball
4 2 TRANS17151 tumblr_nkn5rr1Hsk1ssmhpzo2_400 What does the woman do before stick out tongue ?run	What does the woman do before stick out tongue ?land on the ground	What does the woman do before stick out tongue ?smile	What does the woman do before stick out tongue ?split legs	What does the woman do before stick out tongue ?remove sunglasses
3 1 TRANS9323 tumblr_nfncd202K81spvhnko1_400 What does the man do before talk ?wink eye	What does the man do before talk ?hit the air	What does the man do before talk ?rub guy's head	What does the man do before talk ?shrug shoulder	What does the man do before talk ?stare forward
4 3 TRANS30066 tumblr_nc8b5ovuXE1tqpir1o1_500 What does the woman do after cover face with hand ?lean head on man	What does the woman do after cover face with hand ?dance right	What does the woman do after cover face with hand ?show object	What does the woman do after cover face with hand ?blow kiss	What does the woman do after cover face with hand ?embrace friend
1 2 TRANS45905 tumblr_nr27rwr8nj1u56zbgo1_500 What does the man do before laugh ?happy	What does the man do before laugh ?talk	What does the man do before laugh ?fold arm	What does the man do before laugh ?run to right	What does the man do before laugh ?stop
2 4 TRANS33834 tumblr_naxpzlmRZc1tvp5nto1_400 What does the man do after pretend to swim with sea creature ?sitting	What does the man do after pretend to swim with sea creature ?kiss with another person	What does the man do after pretend to swim with sea creature ?shoot basketball	What does the man do after pretend to swim with sea creature ?hug other girl	What does the man do after pretend to swim with sea creature ?change direction
0 1 TRANS11121 tumblr_ng6elw4KPi1tb8qpro1_250 What does the man with a black tie do before spread hand ?talk	What does the man with a black tie do before spread hand ?wipe hand on towel	What does the man with a black tie do before spread hand ?at the bottom of the stairs	What does the man with a black tie do before spread hand ?ride a bike	What does the man with a black tie do before spread hand ?singing
0 3 TRANS57018 tumblr_n7qshb2AJP1sug4g8o1_500 What does the woman do after lift head up ?stick out tongue	What does the woman do after lift head up ?smile	What does the woman do after lift head up ?throw a ball	What does the woman do after lift head up ?open mouth	What does the woman do after lift head up ?blow a kiss
0 2 TRANS28637 tumblr_njani5ubre1un7bwpo1_500 What does the boy do before turn head ?lick lips	What does the boy do before turn head ?eat an ice cream	What does the boy do before turn head ?wave	What does the boy do before turn head ?lean down	What does the boy do before turn head ?stay under water
4 1 TRANS48464 tumblr_n9odk1infz1twkhcoo1_400 What does the person in helmet do after sit back ?smile	What does the person in helmet do after sit back ?raise legs	What does the person in helmet do after sit back ?flip skateboard	What does the person in helmet do after sit back ?touch man	What does the person in helmet do after sit back ?head up
0 4 TRANS38097 tumblr_nhk0bpnU3c1tjhld9o1_400 What does the woman do before touch mouth ?lift head	What does the woman do before touch mouth ?smile	What does the woman do before touch mouth ?lean head back	What does the woman do before touch mouth ?begin to hug with another man	What does the woman do before touch mouth ?throw ball
4 3 TRANS51516 tumblr_nbf91jwgZX1qzrg8co1_400 What does the man do after back up ?raise eye	What does the man do after back up ?talk into microphone	What does the man do after back up ?smile	What does the man do after back up ?grab a sledge hammer	What does the man do after back up ?fall over
1 0 TRANS20419 tumblr_na5n83Pp651s496jko1_400 What does the woman do before run ?kiss	What does the woman do before run ?run	What does the woman do before run ?adjust clothe	What does the woman do before run ?drive straight	What does the woman do before run ?overcome an obstacle
