0 1 TRANS24492 tumblr_nbjsyhLncl1tujnioo1_500 What does the man do after look serious ?step back	What does the man do after look serious ?drink from a glass	What does the man do after look serious ?wave hand around	What does the man do after look serious ?slide on two wheels	What does the man do after look serious ?cross road
0 3 TRANS57657 tumblr_no7fsb8yg91ushbvro1_500 What does the man do before shake head ?lay	What does the man do before shake head ?smile	What does the man do before shake head ?stick tongue out	What does the man do before shake head ?close eye	What does the man do before shake head ?jump in pain
3 4 TRANS30876 tumblr_neko3rdy1l1s1pgzio1_500 What does the man on left do after pump fist ?change to neutral	What does the man on left do after pump fist ?lift front tire	What does the man on left do after pump fist ?raise eyebrow	What does the man on left do after pump fist ?step back	What does the man on left do after pump fist ?spit out substance
1 3 TRANS47685 tumblr_nba6q7knEq1t7jda2o1_400 What does the man in green do before start run ?blow smoke	What does the man in green do before start run ?kick	What does the man in green do before start run ?smile	What does the man in green do before start run ?stand still	What does the man in green do before start run ?start laughing
2 0 TRANS56714 tumblr_nhvd9bsgbE1u7ielzo1_500 What does the man with blue shirt do after turn head ?start talking	What does the man with blue shirt do after turn head ?smile	What does the man with blue shirt do after turn head ?touch	What does the man with blue shirt do after turn head ?lay down	What does the man with blue shirt do after turn head ?blow a kiss
3 2 TRANS45518 tumblr_nq79d1R2uE1rered3o1_400 What does the man do after look ?lie next to a ball	What does the man do after look ?smile	What does the man do after look ?hit ball	What does the man do after look ?talk	What does the man do after look ?open eyes wide
1 3 TRANS56871 tumblr_nk50qbAqRO1t0m9wio1_500 What does the girl do before open eye ?walk away	What does the girl do before open eye ?smile	What does the girl do before open eye ?touch face	What does the girl do before open eye ?move backward	What does the girl do before open eye ?throw wood
4 2 TRANS4784 tumblr_nda9e7zTaJ1tc8uu9o1_400 What does the woman do after smile ?dance	What does the woman do after smile ?crouch	What does the woman do after smile ?point	What does the woman do after smile ?hug man	What does the woman do after smile ?shake head and smile
0 4 TRANS18204 tumblr_nc216vPG4X1tdjuqvo1_400 What does the cat do after sits low ?bump head	What does the cat do after sits low ?sneak up on guy against wall	What does the cat do after sits low ?kiss man	What does the cat do after sits low ?shoot a basket	What does the cat do after sits low ?stands
1 0 TRANS43370 tumblr_na2k21xDU51shtuz8o1_250 What does the boy in a hat do after stare at friend ?stick up finger	What does the boy in a hat do after stare at friend ?raise hand	What does the boy in a hat do after stare at friend ?open mouth	What does the boy in a hat do after stare at friend ?wake up bear	What does the boy in a hat do after stare at friend ?smile
1 4 TRANS34692 tumblr_nk4svrV1uI1rde1vuo1_500 What does the man do after talk to woman ?looking at camera	What does the man do after talk to woman ?close eye	What does the man do after talk to woman ?speak	What does the man do after talk to woman ?walk forward	What does the man do after talk to woman ?roll chair around
0 2 TRANS40708 tumblr_nf3exsMV8S1qfpmkno1_500 What does the man on the left do after raise a guitar ?start bob head	What does the man on the left do after raise a guitar ?run after ball	What does the man on the left do after raise a guitar ?hug a woman	What does the man on the left do after raise a guitar ?spin the deck	What does the man on the left do after raise a guitar ?have their head in a christmas stock
2 0 TRANS27147 tumblr_ng8ae10GVz1tfxe4ko1_500 What does the man do before purse lips ?press lips together	What does the man do before purse lips ?stare at camera	What does the man do before purse lips ?bounce head	What does the man do before purse lips ?drink bottle water	What does the man do before purse lips ?falling down
4 3 TRANS8363 tumblr_noch808AgN1s5t003o1_400 What does the person with black hair and yellow stick do before start to wave the stick in the air ?wink	What does the person with black hair and yellow stick do before start to wave the stick in the air ?nod head	What does the person with black hair and yellow stick do before start to wave the stick in the air ?crossing hands	What does the person with black hair and yellow stick do before start to wave the stick in the air ?have hand with the stick in the air	What does the person with black hair and yellow stick do before start to wave the stick in the air ?yell
4 3 TRANS42043 tumblr_nc0eqq49V51rw1wnno1_400 What does the cat do before fall ?walk accross	What does the cat do before fall ?ride a skateboard	What does the cat do before fall ?raise left arm	What does the cat do before fall ?touch cable	What does the cat do before fall ?run
4 0 TRANS53027 tumblr_n957zdy8uH1rj7jl5o1_500 What does the person do before point hand ?laugh	What does the person do before point hand ?open mouth	What does the person do before point hand ?run hand down leg	What does the person do before point hand ?push weight down	What does the person do before point hand ?close hand
3 1 TRANS44919 tumblr_nhl15wkAkP1u6rurco1_400 What does the woman do before wave at camera ?wake up	What does the woman do before wave at camera ?hand by side	What does the woman do before wave at camera ?ride a bike	What does the woman do before wave at camera ?talk	What does the woman do before wave at camera ?jump
4 1 TRANS36209 tumblr_ndoptcS3Kt1u11azoo1_500 What does the man do before turn away ?run	What does the man do before turn away ?hug another man	What does the man do before turn away ?play guitar	What does the man do before turn away ?begin speak	What does the man do before turn away ?start walking
2 1 TRANS45976 tumblr_nkizal5yDC1thp5iao1_500 What does the person who is on the right do after stand behind another girl ?smile	What does the person who is on the right do after stand behind another girl ?move a hand down	What does the person who is on the right do after stand behind another girl ?kiss forehead	What does the person who is on the right do after stand behind another girl ?laugh at the camera	What does the person who is on the right do after stand behind another girl ?lie on back
2 0 TRANS28262 tumblr_nkp08qV74W1t3xfaso1_250 What does the woman do after walk with man ?spin around by man	What does the woman do after walk with man ?open mouth	What does the woman do after walk with man ?help woman up	What does the woman do after walk with man ?stare	What does the woman do after walk with man ?hug gandalf
3 2 TRANS45340 tumblr_ne6crjyvCg1sa0lndo1_500 What does the man do after rotate lower body to right ?leave one guy hang	What does the man do after rotate lower body to right ?talk	What does the man do after rotate lower body to right ?swing object	What does the man do after rotate lower body to right ?have hand on temple	What does the man do after rotate lower body to right ?lie down
2 4 TRANS40000 tumblr_ndz2blSzVT1tlgy1jo1_400 What does the young man do after face camera ?raise hand	What does the young man do after face camera ?close	What does the young man do after face camera ?begin scared	What does the young man do after face camera ?have hand over face	What does the young man do after face camera ?flip head down
0 2 TRANS10353 tumblr_nqfp68NX3i1uqzd68o1_250 What does the man do before wave arm around ?laugh with chin in chest	What does the man do before wave arm around ?frown	What does the man do before wave arm around ?reach out at the camera	What does the man do before wave arm around ?blink eyes	What does the man do before wave arm around ?sway body
3 4 TRANS35546 tumblr_nnzt2wmz6S1ql37t5o1_500 What does the man do after look forward ?straight face	What does the man do after look forward ?slide down on bed	What does the man do after look forward ?bite donut	What does the man do after look forward ?kiss	What does the man do after look forward ?raise eyebrow
0 3 TRANS30330 tumblr_neyg4g5FNn1sh32sgo1_400 What does the guy with long hair do after turn around ?embrace a man	What does the guy with long hair do after turn around ?dance	What does the guy with long hair do after turn around ?lean in	What does the guy with long hair do after turn around ?blow heart	What does the guy with long hair do after turn around ?sing
3 0 TRANS7018 tumblr_nda8txGklg1qfpq5po1_250 What does the person do after lean on seat ?bend over seat	What does the person do after lean on seat ?pet	What does the person do after lean on seat ?exhale through nose	What does the person do after lean on seat ?talk to camera	What does the person do after lean on seat ?talks
0 4 TRANS53792 tumblr_nfojm1yS181u4xddzo1_500 What does the woman do after stuff mouth with cake ?stick tongue out	What does the woman do after stuff mouth with cake ?smile and turn	What does the woman do after stuff mouth with cake ?touch head to the other man	What does the woman do after stuff mouth with cake ?pick up other guy	What does the woman do after stuff mouth with cake ?raise eyebraws
4 2 TRANS54524 tumblr_no5orm7PbC1u91nf3o1_500 What does the man do after look at camera ?hang down	What does the man do after look at camera ?smile	What does the man do after look at camera ?aim pretend gun	What does the man do after look at camera ?walk	What does the man do after look at camera ?back away
2 0 TRANS8790 tumblr_nbwjgeL6Ak1tlms2ko1_400 What does the woman with red hair do after smile ?wave	What does the woman with red hair do after smile ?thrust hips	What does the woman with red hair do after smile ?wink	What does the woman with red hair do after smile ?hunch	What does the woman with red hair do after smile ?cluster with bouquet
4 0 TRANS56515 tumblr_nauohdXxUf1r3qv9to1_400 What does the woman do before speak ?look ahead	What does the woman do before speak ?throw bananas	What does the woman do before speak ?blow kiss	What does the woman do before speak ?push hair backward	What does the woman do before speak ?knock on door
1 0 TRANS55586 tumblr_ng1jgl7aMz1slj978o1_400 What does the frog do after try to catch tongue to a dragonfly ?touch it's tongue by two hand	What does the frog do after try to catch tongue to a dragonfly ?walk	What does the frog do after try to catch tongue to a dragonfly ?run toward man	What does the frog do after try to catch tongue to a dragonfly ?stop and turn body straight to the screen	What does the frog do after try to catch tongue to a dragonfly ?blow smoke
1 3 TRANS22850 tumblr_najpjmYwHh1tjcbnvo1_400 What does the woman do after sit ?fold arms	What does the woman do after sit ?sink under water	What does the woman do after sit ?clear throat	What does the woman do after sit ?dance in place	What does the woman do after sit ?fix hair
3 4 TRANS46117 tumblr_ne08vrf3WS1tl8yi6o1_500 What does the man do before stand up ?raise head up	What does the man do before stand up ?touch hair	What does the man do before stand up ?kiss girl	What does the man do before stand up ?kick leg	What does the man do before stand up ?sit in bed
0 2 TRANS45466 tumblr_nh07lr7LIE1tqm4yoo1_500 What does the man do after sticks out tongue ?to kiss	What does the man do after sticks out tongue ?raise arm	What does the man do after sticks out tongue ?looks away	What does the man do after sticks out tongue ?lie on ground	What does the man do after sticks out tongue ?shake hair
1 0 TRANS22226 tumblr_n9w68eOVgx1tif07xo1_400 What does the woman do after wave stuff animal's paw ?wave hand	What does the woman do after wave stuff animal's paw ?eat a carrot	What does the woman do after wave stuff animal's paw ?tie hair back	What does the woman do after wave stuff animal's paw ?lick lips	What does the woman do after wave stuff animal's paw ?lean down
3 0 TRANS899 tumblr_nrch75ohMt1uxcqdvo1_250 What does the person in white shirt do before throw money on seat ?wave money around	What does the person in white shirt do before throw money on seat ?smokes cigarette	What does the person in white shirt do before throw money on seat ?gasp in surprise	What does the person in white shirt do before throw money on seat ?eat	What does the person in white shirt do before throw money on seat ?pout
1 0 TRANS23936 tumblr_nhdr3clKDa1sntw1mo1_400 What does the dog do after look at shelf ?smile later with tongue out	What does the dog do after look at shelf ?run	What does the dog do after look at shelf ?lower head	What does the dog do after look at shelf ?drive foward	What does the dog do after look at shelf ?on camera
2 0 TRANS25385 tumblr_nr9lyoOfEj1rjxehgo1_540 What does the musician do before playing guitar ?point fingers in the air	What does the musician do before playing guitar ?kiss a girl	What does the musician do before playing guitar ?sing	What does the musician do before playing guitar ?shake head	What does the musician do before playing guitar ?fly
2 0 TRANS35697 tumblr_nig4b0b1ln1rs9adzo1_400 What does the man with a long hair do before hug the guitarist ?sing	What does the man with a long hair do before hug the guitarist ?point finger	What does the man with a long hair do before hug the guitarist ?drop the phone	What does the man with a long hair do before hug the guitarist ?lean backward	What does the man with a long hair do before hug the guitarist ?run towards ball
3 0 TRANS39472 tumblr_nhvbgxJW4s1u6lo1go1_400 What does the boy do after toss ?open the book	What does the boy do after toss ?shake tshirt back and forth	What does the boy do after toss ?spin	What does the boy do after toss ?laugh	What does the boy do after toss ?bite lip
2 1 TRANS2218 tumblr_njxgjz9Wjv1qanpfzo1_250 What does the woman do after push hand ?stomp foot	What does the woman do after push hand ?slide on the snow	What does the woman do after push hand ?raise arm	What does the woman do after push hand ?wiggle lips	What does the woman do after push hand ?submerge face in water
0 3 TRANS48427 tumblr_nfodj8xom01s3att3o1_500 What does the man do before step back ?walk forward	What does the man do before step back ?smile	What does the man do before step back ?laugh	What does the man do before step back ?cut wood	What does the man do before step back ?talk
3 4 TRANS44932 tumblr_nafcozD7p01tzwfnzo1_500 What does the man do after close eye ?kiss	What does the man do after close eye ?shake hair back	What does the man do after close eye ?laugh	What does the man do after close eye ?smile	What does the man do after close eye ?open them
1 3 TRANS18109 tumblr_nk5689LI5o1r5u8dlo1_400 What does the woman do before turn away ?crawl on the ground	What does the woman do before turn away ?swing on lamp	What does the woman do before turn away ?skip	What does the woman do before turn away ?face forward	What does the woman do before turn away ?ride a skateboard
3 0 TRANS39843 tumblr_noagkbLLFO1rz4xj6o1_1280 What does the guy on left do before talk ?high five with another guy	What does the guy on left do before talk ?bite lip	What does the guy on left do before talk ?kiss him	What does the guy on left do before talk ?laugh	What does the guy on left do before talk ?kick legs
0 4 TRANS55585 tumblr_ng1jgl7aMz1slj978o1_400 What does the frog do before touch its tongue by two hand ?touch another kid's leg	What does the frog do before touch its tongue by two hand ?smile	What does the frog do before touch its tongue by two hand ?face forward	What does the frog do before touch its tongue by two hand ?lay down forward	What does the frog do before touch its tongue by two hand ?try to catch tongue to a dragonfly
2 4 TRANS31799 tumblr_nc56qahgCd1tfeeomo1_400 What does the man do before lift hand ?steal ball	What does the man do before lift hand ?hit herself	What does the man do before lift hand ?play a guitar	What does the man do before lift hand ?watch man	What does the man do before lift hand ?lean back
0 4 TRANS18191 tumblr_nczmk3kCg81u06q6wo1_400 What does the woman do before laugh ?slap another man's face	What does the woman do before laugh ?hug	What does the woman do before laugh ?drive forward	What does the woman do before laugh ?spit something out	What does the woman do before laugh ?fall over
1 0 TRANS11364 tumblr_nfmvjpiyJR1s91buko1_250 What does the man do after rub hair ?open mouth	What does the man do after rub hair ?shake head	What does the man do after rub hair ?cringe face	What does the man do after rub hair ?toss hair	What does the man do after rub hair ?shock
4 1 TRANS45498 tumblr_nagmqkc3IH1t24hnto1_400 What does the guy on left do after sit ?talk to cat	What does the guy on left do after sit ?bend over	What does the guy on left do after sit ?happy	What does the guy on left do after sit ?have mail place in mouth	What does the guy on left do after sit ?start talking
4 3 TRANS30794 tumblr_njy7o4JdmP1u2mi4fo1_400 What does the man do after make hand sign ?wait for chain to be cut	What does the man do after make hand sign ?run left	What does the man do after make hand sign ?laugh	What does the man do after make hand sign ?shape a baloon into a dog	What does the man do after make hand sign ?walk to the right
3 4 TRANS40907 tumblr_nk98cz79at1tk2ngvo1_400 What does the dog do before jump towards tennis ball ?shoot gun with one hand	What does the dog do before jump towards tennis ball ?hit the air	What does the dog do before jump towards tennis ball ?kick ball	What does the dog do before jump towards tennis ball ?pick up cake on fork	What does the dog do before jump towards tennis ball ?lie down
1 4 TRANS22652 tumblr_nacxsoAe7U1tcn68vo1_400 What does the man do after stand in pool ?in front of a deck	What does the man do after stand in pool ?high fives woman	What does the man do after stand in pool ?play with dog	What does the man do after stand in pool ?wave	What does the man do after stand in pool ?rub arm on chest
1 4 TRANS42164 tumblr_mklakcStMl1rvbi0zo1_500 What does the lady do after stand still ?raise hand	What does the lady do after stand still ?run away	What does the lady do after stand still ?have mask	What does the lady do after stand still ?point forward	What does the lady do after stand still ?kiss man
4 2 TRANS1470 tumblr_nk9knh1M1X1u9xtf5o1_400 What does the man do after hold the present ?grimace	What does the man do after hold the present ?freeze	What does the man do after hold the present ?dance	What does the man do after hold the present ?lower hand	What does the man do after hold the present ?wipe himself with shirt
0 3 TRANS40292 tumblr_n9l0zq5J771qbr5s3o1_500 What does the man do after walk forward ?kick guy in face	What does the man do after walk forward ?ride on a shop cart	What does the man do after walk forward ?flip skateboard	What does the man do after walk forward ?spread arm	What does the man do after walk forward ?lift head up
2 0 TRANS32732 tumblr_ng0v11LduH1tpazm0o1_500 What does the man do after flip a skateboard ?ride a skateboard	What does the man do after flip a skateboard ?hide face	What does the man do after flip a skateboard ?fail on the ground	What does the man do after flip a skateboard ?touch a man's back	What does the man do after flip a skateboard ?draw a smiley face
3 1 TRANS25845 tumblr_n8tkdr4Eby1rdyrrfo1_400 What does the lady do before shock ?lean forward wave	What does the lady do before shock ?hit head	What does the lady do before shock ?embrace friend	What does the lady do before shock ?speak	What does the lady do before shock ?relax
2 0 TRANS23939 tumblr_na5nxkhvGS1ti5broo1_500 What does the man do before lick finger ?pray	What does the man do before lick finger ?spin out	What does the man do before lick finger ?slightly move to the right	What does the man do before lick finger ?swing a stick	What does the man do before lick finger ?punch
3 0 TRANS36220 tumblr_nk93w8xzrj1uoybayo1_400 What does the man do after look down ?kiss hand	What does the man do after look down ?run	What does the man do after look down ?have the soccer ball	What does the man do after look down ?point	What does the man do after look down ?raise eybrows
4 0 TRANS5566 tumblr_nesw34gJQu1ts5egio1_250 What does the boy do after stand up ?squat down	What does the boy do after stand up ?film the man	What does the boy do after stand up ?driving next to other cars	What does the boy do after stand up ?content	What does the boy do after stand up ?headbutt's guy in private area
3 0 TRANS27287 tumblr_nam4gn3UPS1qcs7p3o1_400 What does the man do before turn head ?step forward	What does the man do before turn head ?drink coffee	What does the man do before turn head ?bite lip	What does the man do before turn head ?sing	What does the man do before turn head ?wear a shoe
2 3 TRANS15074 tumblr_nir1ryJpQJ1slj978o1_400 What does the man do after run across road ?tap man on chest	What does the man do after run across road ?nod head	What does the man do after run across road ?bike down ramp	What does the man do after run across road ?lie down	What does the man do after run across road ?adjust the page
0 4 TRANS6472 tumblr_nnw22sU3qg1r82feqo1_500 What does the man do after stand up straight ?tilt head to the side	What does the man do after stand up straight ?run out the door	What does the man do after stand up straight ?tap a stick	What does the man do after stand up straight ?inhale smoke	What does the man do after stand up straight ?hug the girl
2 0 TRANS58807 tumblr_nfdc35WaSX1u3l171o1_500 What does the man do before cry ?smile	What does the man do before cry ?throw phone	What does the man do before cry ?jump up	What does the man do before cry ?point	What does the man do before cry ?start running
4 0 TRANS38383 tumblr_nbyoe60gY11tgway4o1_400 What does the man do before shake ?touch face	What does the man do before shake ?ride a scooter	What does the man do before shake ?eat	What does the man do before shake ?raise arm	What does the man do before shake ?walk
1 2 TRANS9444 tumblr_nouvypVt4E1r9lvg6o1_400 What does the man do after smile ?sing	What does the man do after smile ?blink	What does the man do after smile ?place a flower in mouth	What does the man do after smile ?slap other man	What does the man do after smile ?shrug
4 2 TRANS47540 tumblr_nq0oa9NEcm1sna8pso1_500 What does the hockey player do after throws a hockey stick ?roll away	What does the hockey player do after throws a hockey stick ?flip hair	What does the hockey player do after throws a hockey stick ?takes off mask	What does the hockey player do after throws a hockey stick ?shake hand	What does the hockey player do after throws a hockey stick ?smile
2 1 TRANS3548 tumblr_neos3nVhDf1s6kvcro1_250 What does the man do after lean back ?snuggle with a cat	What does the man do after lean back ?talk	What does the man do after lean back ?lift weight	What does the man do after lean back ?display watch toward the screen	What does the man do after lean back ?flail arm
4 1 TRANS49592 tumblr_nrlg5vP7gE1sfttrso1_400 What does the man in orange do after jump out from behind a box ?smile	What does the man in orange do after jump out from behind a box ?stand menacingly	What does the man in orange do after jump out from behind a box ?blow a bubble	What does the man in orange do after jump out from behind a box ?start drinking	What does the man in orange do after jump out from behind a box ?catch another ball
3 1 TRANS18506 tumblr_navz04i2T01tpmdr3o1_250 What does the man do after shake fist at the computer ?tip head	What does the man do after shake fist at the computer ?cry in the bathtub	What does the man do after shake fist at the computer ?on	What does the man do after shake fist at the computer ?extend arm	What does the man do after shake fist at the computer ?slide woman's leg
0 4 TRANS50779 tumblr_ni0frlEG9u1smv4t3o1_500 What does the woman do before hold hand together ?stand	What does the woman do before hold hand together ?look down	What does the woman do before hold hand together ?talk	What does the woman do before hold hand together ?pick up	What does the woman do before hold hand together ?stroke hair
0 3 TRANS19223 tumblr_n9alzxzCZo1rf023bo1_400 What does the man do before move hand ?sing into microphone	What does the man do before move hand ?play to drive a car	What does the man do before move hand ?cover face	What does the man do before move hand ?lean back	What does the man do before move hand ?fly
2 4 TRANS5646 tumblr_nk5dmol2Kr1uovdz3o1_400 What does the female in white dress do after dance forward ?frown	What does the female in white dress do after dance forward ?gallop away	What does the female in white dress do after dance forward ?hit the air	What does the female in white dress do after dance forward ?whisper into other guy's ear	What does the female in white dress do after dance forward ?lean back
0 2 TRANS46652 tumblr_nfs00n2zKu1tf406do1_400 What does the man do after look to left ?start laughing	What does the man do after look to left ?run	What does the man do after look to left ?hug person on right	What does the man do after look to left ?open eye	What does the man do after look to left ?raise paw
0 3 TRANS39471 tumblr_nhvbgxJW4s1u6lo1go1_400 What does the boy do before open the book ?see the whale	What does the boy do before open the book ?open eye	What does the boy do before open the book ?close legs together	What does the boy do before open the book ?toss	What does the boy do before open the book ?ride on sidewalk
0 1 TRANS17571 tumblr_n9powlIXXD1tiu45ao1_400 What does the woman do before look to left ?point forward	What does the woman do before look to left ?sing	What does the woman do before look to left ?remove helmet	What does the woman do before look to left ?tip body back and forth	What does the woman do before look to left ?lock the bottle
3 2 TRANS40957 tumblr_n9xbvxDMMu1qls9cco1_500 What does the man do before raise arm ?hit the other boy	What does the man do before raise arm ?run away	What does the man do before raise arm ?smile	What does the man do before raise arm ?kick foot	What does the man do before raise arm ?drop arm down
4 3 TRANS12997 tumblr_neqbvmEl2p1u36mi8o1_250 What does the man in the center do before slap butt ?wave head	What does the man in the center do before slap butt ?clap hand	What does the man in the center do before slap butt ?waves	What does the man in the center do before slap butt ?put hand on head	What does the man in the center do before slap butt ?squat jump
0 3 TRANS58508 tumblr_ngf57i9qu81ra6i3zo1_500 What does the young Asian woman do after listen on mobile phone ?walk away	What does the young Asian woman do after listen on mobile phone ?smile	What does the young Asian woman do after listen on mobile phone ?jump on rope	What does the young Asian woman do after listen on mobile phone ?bring phone down	What does the young Asian woman do after listen on mobile phone ?point
3 1 TRANS45506 tumblr_nf1nlpijnR1u2lw0po1_400 What does the man do after walk ?jump in puddle	What does the man do after walk ?comfort patient	What does the man do after walk ?kick ball into goal	What does the man do after walk ?start read book	What does the man do after walk ?run in place
0 4 TRANS32871 tumblr_nglb9d1D1O1tbjx0uo1_500 What does the smiling woman do before raise eyebrows ?sing	What does the smiling woman do before raise eyebrows ?hug man	What does the smiling woman do before raise eyebrows ?dance with wife	What does the smiling woman do before raise eyebrows ?fly	What does the smiling woman do before raise eyebrows ?turn body
1 4 TRANS38456 tumblr_njozwkaCSE1sf640vo1_400 What does the woman do after come in a room ?hit down on horse figure	What does the woman do after come in a room ?smile	What does the woman do after come in a room ?lean forward	What does the woman do after come in a room ?laugh	What does the woman do after come in a room ?hold a dish of food
4 2 TRANS28302 tumblr_n9zlvzY5jO1sp3selo1_250 What does the woman with a brown and black Poseidon top do after look straight ahead ?smile	What does the woman with a brown and black Poseidon top do after look straight ahead ?laugh	What does the woman with a brown and black Poseidon top do after look straight ahead ?shift eye to the side	What does the woman with a brown and black Poseidon top do after look straight ahead ?kiss man	What does the woman with a brown and black Poseidon top do after look straight ahead ?sing into microphone
1 4 TRANS13087 tumblr_nafngzqDRD1teqt83o1_250 What does the blonde woman on right do before laugh ?land on the road	What does the blonde woman on right do before laugh ?raise a towel by two hand	What does the blonde woman on right do before laugh ?race with other competitor	What does the blonde woman on right do before laugh ?dance	What does the blonde woman on right do before laugh ?snap finger
4 0 TRANS45443 tumblr_njtvm1ky4S1u9tekro1_500 What does the woman do before blink eye ?stick out tongue	What does the woman do before blink eye ?raise hand	What does the woman do before blink eye ?open them	What does the woman do before blink eye ?smile	What does the woman do before blink eye ?close eyes
0 3 TRANS27148 tumblr_ng8ae10GVz1tfxe4ko1_500 What does the man do after press lips together ?point finger out	What does the man do after press lips together ?slow down	What does the man do after press lips together ?listen	What does the man do after press lips together ?purse lips	What does the man do after press lips together ?lean against opponent
4 0 TRANS12018 tumblr_n8ywiw6h2O1thwjzto1_250 What does the woman do after kick ?turn body	What does the woman do after kick ?hug a person	What does the woman do after kick ?clap hand	What does the woman do after kick ?squat	What does the woman do after kick ?shirt grab
2 0 TRANS18403 tumblr_naeek5CTnf1tpqc8uo1_400 What does the man do before hit a girl with fan ?fan	What does the man do before hit a girl with fan ?prepare to jump	What does the man do before hit a girl with fan ?rub face	What does the man do before hit a girl with fan ?hide under the snow	What does the man do before hit a girl with fan ?in the air
2 1 TRANS57359 tumblr_ni3bhgVXHU1u86ghoo1_500 What does the woman do before dance in alley ?close newspaper	What does the woman do before dance in alley ?flip over couch	What does the woman do before dance in alley ?run with football	What does the woman do before dance in alley ?feel ecstasy	What does the woman do before dance in alley ?come and shake hand with another man
1 4 TRANS44257 tumblr_nki24gDtbq1u554gyo1_500 What does the cat do before try to get away ?raise a bottle	What does the cat do before try to get away ?walk	What does the cat do before try to get away ?close eye	What does the cat do before try to get away ?lie down on a sofa	What does the cat do before try to get away ?scratch wall
3 2 TRANS10843 tumblr_n8qp6qt1ZD1qa2n7ao1_400 What does the woman do before bend head towards right shoulder ?straighten collar	What does the woman do before bend head towards right shoulder ?paw at the computer	What does the woman do before bend head towards right shoulder ?roll eye	What does the woman do before bend head towards right shoulder ?smiles	What does the woman do before bend head towards right shoulder ?twirl the phone
4 2 TRANS20788 tumblr_nftd5s8MAr1qc51c0o1_400 What does the man do after wear a hat ?speak	What does the man do after wear a hat ?brush hair off of face	What does the man do after wear a hat ?hit by a fish	What does the man do after wear a hat ?embrace a woman	What does the man do after wear a hat ?wrap legs around other guy
4 0 TRANS50578 tumblr_nhbn0vv8Gp1tx8mn0o1_400 What do the blue car with lots of ads do after driving next to other cars ?behind the car	What do the blue car with lots of ads do after driving next to other cars ?raise hand	What do the blue car with lots of ads do after driving next to other cars ?touch head	What do the blue car with lots of ads do after driving next to other cars ?shake leg	What do the blue car with lots of ads do after driving next to other cars ?laugh
1 0 TRANS25983 tumblr_nbx1d9tybA1tfhme1o1_400 What does the woman do before turn head ?express surprise	What does the woman do before turn head ?climb on motorcycle	What does the woman do before turn head ?kick paper	What does the woman do before turn head ?flip down	What does the woman do before turn head ?upside down
0 1 TRANS49812 tumblr_nax34fpBeq1rxahw2o1_250 What does the man do after touch face ?touch man hand	What does the man do after touch face ?walk after her	What does the man do after touch face ?blow kiss	What does the man do after touch face ?shake head	What does the man do after touch face ?stick right hand between bar
3 0 TRANS38814 tumblr_nr45wgSapM1uaujqao1_400 What does the gorilla do after walk on legs ?hit window	What does the gorilla do after walk on legs ?smile	What does the gorilla do after walk on legs ?pretend to bite	What does the gorilla do after walk on legs ?lie on ground	What does the gorilla do after walk on legs ?eat food
4 2 TRANS28465 tumblr_nad0y6Ci4u1tjbpqfo1_250 What does the man do before sign peace ?pass truck	What does the man do before sign peace ?reach up in the air	What does the man do before sign peace ?dance	What does the man do before sign peace ?assume the split position	What does the man do before sign peace ?shut door
3 2 TRANS44205 tumblr_nnwfcpoGEI1tk2ngvo1_400 What does the cat do before fall off table ?close eye	What does the cat do before fall off table ?open mouth	What does the cat do before fall off table ?shake head	What does the cat do before fall off table ?run	What does the cat do before fall off table ?point to right
1 3 TRANS33917 tumblr_ncvyw0ok611slmwoeo1_400 What does the man do before walk away ?hide	What does the man do before walk away ?lean into the camera	What does the man do before walk away ?speak	What does the man do before walk away ?hit man	What does the man do before walk away ?smile
2 0 TRANS999 tumblr_nd1cadaCNH1sops1co1_250 What does the man do before hold up hand ?sing	What does the man do before hold up hand ?exhale smoke	What does the man do before hold up hand ?point at screen	What does the man do before hold up hand ?removes hoodie	What does the man do before hold up hand ?kneel
2 1 TRANS22950 tumblr_ndg2qo1VQh1r6w3oho1_500 What does the man do after sit ?on the left	What does the man do after sit ?crush face with hand	What does the man do after sit ?full	What does the man do after sit ?in dark room	What does the man do after sit ?light cigarette
0 2 TRANS13350 tumblr_ne1ae8GExo1tkkgpso1_400 What does the mouse do after get touched by a person ?remove that clamp	What does the mouse do after get touched by a person ?wave hand	What does the mouse do after get touched by a person ?look surprised	What does the mouse do after get touched by a person ?pump fist	What does the mouse do after get touched by a person ?wipe face
4 0 TRANS41093 tumblr_na245llSHb1svwr57o1_500 What does the woman on the right do before bump head with a man on the left ?smile	What does the woman on the right do before bump head with a man on the left ?run with pole	What does the woman on the right do before bump head with a man on the left ?hit wall with broom	What does the woman on the right do before bump head with a man on the left ?kick leg	What does the woman on the right do before bump head with a man on the left ?drop it
1 2 TRANS16161 tumblr_ngrbvfS0cS1u60ye3o1_400 What does the man do beforehand a woman a book ?raise hand	What does the man do beforehand a woman a book ?lift woman	What does the man do beforehand a woman a book ?pop up from behind a counter	What does the man do beforehand a woman a book ?extend arm	What does the man do beforehand a woman a book ?lean forward in chair
3 2 TRANS17105 tumblr_nkxhmpEcZq1scd4jmo1_250 What do the woman in polka dots do before open mouth ?bare	What do the woman in polka dots do before open mouth ?brush hair	What do the woman in polka dots do before open mouth ?stop on ground	What do the woman in polka dots do before open mouth ?dance	What do the woman in polka dots do before open mouth ?holds up another man
