0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
0 2 TRANS34379 tumblr_nc4otb65m71rmiij7o1_500 What does the woman do before flip hair ?speak	What does the woman do before flip hair ?talk	What does the woman do before flip hair ?swing arm	What does the woman do before flip hair ?disappear into a robot	What does the woman do before flip hair ?hide behind a toy
2 0 TRANS19308 tumblr_n9rl82iCoh1rc1nlfo1_400 What does the woman do after touch face ?kiss the man on right	What does the woman do after touch face ?run up stairs	What does the woman do after touch face ?adjust glass	What does the woman do after touch face ?drive in jeep	What does the woman do after touch face ?approach from right side
0 3 TRANS46984 tumblr_nre08sIRTN1txd6p7o1_400 What does the man do after freeze ?straight face	What does the man do after freeze ?raise hand	What does the man do after freeze ?place bucket on top of man's head	What does the man do after freeze ?blink eye	What does the man do after freeze ?open arms
4 2 TRANS56629 tumblr_nklek6EsNF1t08g1no1_400 What does the boy do before sing ?close eye	What does the boy do before sing ?point fake gun at man	What does the boy do before sing ?dance	What does the boy do before sing ?pick him up	What does the boy do before sing ?grab girls head
3 0 TRANS31560 tumblr_n97tp3oS9b1ts3h88o1_500 What does the man do after put hand to mouth ?extend arm	What does the man do after put hand to mouth ?smile	What does the man do after put hand to mouth ?scared	What does the man do after put hand to mouth ?scream	What does the man do after put hand to mouth ?dance
4 0 TRANS33833 tumblr_naxpzlmRZc1tvp5nto1_400 What does the man do before change direction ?pretend to swim with sea creature	What does the man do before change direction ?lift head up	What does the man do before change direction ?stretch both hands	What does the man do before change direction ?hit a ball with head	What does the man do before change direction ?slide on block
3 0 TRANS55084 tumblr_n921a936fJ1tfax0ho1_500 What does the girl on left do after stare at guy ?touch guy's chin	What does the girl on left do after stare at guy ?walk backwards	What does the girl on left do after stare at guy ?run into wall	What does the girl on left do after stare at guy ?stop and look surprise	What does the girl on left do after stare at guy ?blow to the side
1 2 TRANS56500 tumblr_n9ok1dVbHM1tbg9d2o1_400 What does the man do after pull noodles up ?point finger and shake head	What does the man do after pull noodles up ?touch head	What does the man do after pull noodles up ?eat noodles	What does the man do after pull noodles up ?push cart	What does the man do after pull noodles up ?hand down
1 0 TRANS27147 tumblr_ng8ae10GVz1tfxe4ko1_500 What does the man do before purse lips ?press lips together	What does the man do before purse lips ?stare at camera	What does the man do before purse lips ?bounce head	What does the man do before purse lips ?drink bottle water	What does the man do before purse lips ?falling down
2 0 TRANS37505 tumblr_ndqtrnPBRk1tgvzrro1_500 What does the boy do before smile at the camera ?drink coffe	What does the boy do before smile at the camera ?step up	What does the boy do before smile at the camera ?move head	What does the boy do before smile at the camera ?spin out of control	What does the boy do before smile at the camera ?flip hair
3 2 TRANS10354 tumblr_nqfp68NX3i1uqzd68o1_250 What does the man do after reach out at the camera ?sway body	What does the man do after reach out at the camera ?eat food	What does the man do after reach out at the camera ?wave arm around	What does the man do after reach out at the camera ?pet one	What does the man do after reach out at the camera ?sniff
2 4 TRANS45425 tumblr_nevb60y8aM1sre2f5o1_500 What does the man do before drink alcohol ?laugh	What does the man do before drink alcohol ?talk to someone	What does the man do before drink alcohol ?happy	What does the man do before drink alcohol ?turns face	What does the man do before drink alcohol ?lift a glass
0 1 TRANS14279 tumblr_nhp6t607291sde4gmo1_250 What does the person do before smile ?talk to the screen	What does the person do before smile ?brush hair backward	What does the person do before smile ?kicks the other	What does the person do before smile ?return to original spot	What does the person do before smile ?dance
1 3 TRANS2132 tumblr_nc56od0w7o1sut3l0o1_250 What does the man do after straight face ?juggle ball	What does the man do after straight face ?stare blankly	What does the man do after straight face ?bend over seat	What does the man do after straight face ?start smile	What does the man do after straight face ?hump girl
0 1 TRANS34646 tumblr_nb55hot8ew1t5f6jqo1_400 What does the man do after turn ?open door	What does the man do after turn ?spin on hand	What does the man do after turn ?looking down at something	What does the man do after turn ?hug that man	What does the man do after turn ?speak
4 3 TRANS39939 tumblr_nbxov9bbaA1slw55qo1_500 What does the man in black shirt do before break pile ?cry	What does the man in black shirt do before break pile ?kiss woman	What does the man in black shirt do before break pile ?laugh with chin in chest	What does the man in black shirt do before break pile ?clear bricks	What does the man in black shirt do before break pile ?swing the fly swatter
0 1 TRANS57348 tumblr_nr1hscYbC31sqpuloo1_540 What does the man do after smile ?close mouth	What does the man do after smile ?shake shoulder	What does the man do after smile ?run finger through hair	What does the man do after smile ?point gun	What does the man do after smile ?catch fire
1 3 TRANS6293 tumblr_nawsf7lV8G1s02j3lo1_400 What does the person do before pull back ?clap hand	What does the person do before pull back ?sing near microphone	What does the person do before pull back ?play guitar	What does the person do before pull back ?light fart	What does the person do before pull back ?tilt body
3 1 TRANS47179 tumblr_nayv2kyFQI1ts7wbfo1_400 What does the male with blonde hair do before arm over shoulder ?talk to other guy	What does the male with blonde hair do before arm over shoulder ?arm down	What does the male with blonde hair do before arm over shoulder ?happy	What does the male with blonde hair do before arm over shoulder ?come closer the screen	What does the male with blonde hair do before arm over shoulder ?try to grab something
4 3 TRANS32472 tumblr_nqn09pgpYK1uzayvxo1_400 What does the woman do after get kiss ?smile ahead	What does the woman do after get kiss ?hug a woman	What does the woman do after get kiss ?slap a man in bad	What does the woman do after get kiss ?fall back	What does the woman do after get kiss ?listen
4 0 TRANS58337 tumblr_n9z5at2ekD1qe7j1wo1_500 What does the man perform do before sing on stage ?dance on stage	What does the man perform do before sing on stage ?point to the right	What does the man perform do before sing on stage ?close legs	What does the man perform do before sing on stage ?pick nose	What does the man perform do before sing on stage ?grab someone's back
4 0 TRANS35416 tumblr_ncs3d4Hye11tb92v8o1_400 What does the knee do after straight ?bend	What does the knee do after straight ?talk to camera	What does the knee do after straight ?play with it	What does the knee do after straight ?happy	What does the knee do after straight ?surprised
0 1 TRANS10489 tumblr_ncwg9lrvsc1t3ghero1_250 What do the eyes do before blink ?frown	What do the eyes do before blink ?open	What do the eyes do before blink ?sing	What do the eyes do before blink ?whisper	What do the eyes do before blink ?shake hand
4 2 TRANS6820 tumblr_nqr8gmhlLr1rnfni9o1_400 What do the boy's pants do after on boy's waist ?flex an arm's muscle	What do the boy's pants do after on boy's waist ?twirl girl around	What do the boy's pants do after on boy's waist ?at boy's ankles	What do the boy's pants do after on boy's waist ?cover the screen with a hand	What do the boy's pants do after on boy's waist ?dump bucket
3 0 TRANS40020 tumblr_nfghin7vcs1t3037qo1_400 What does the woman do after step ?kiss with a man	What does the woman do after step ?run away	What does the woman do after step ?have finger close in	What does the woman do after step ?point at camera	What does the woman do after step ?raise a flashlight
3 2 TRANS17710 tumblr_nd00a2dHuw1ryusrfo1_400 What does the man do after look at camera ?brought out a dog	What does the man do after look at camera ?laugh	What does the man do after look at camera ?flex muscle	What does the man do after look at camera ?talk	What does the man do after look at camera ?yell
4 1 TRANS42776 tumblr_nqtljw2VYI1uzrt09o1_400 What does the hockey player do after stand on the wall ?walk to a girl	What does the hockey player do after stand on the wall ?pressed by others	What does the hockey player do after stand on the wall ?talk	What does the hockey player do after stand on the wall ?ride a horse	What does the hockey player do after stand on the wall ?run towards ball
1 0 TRANS46061 tumblr_nhv5kcT8bz1u7fmoqo1_500 What does the man do before rub hair ?pour water on himself	What does the man do before rub hair ?close it and smile	What does the man do before rub hair ?talk to a lady	What does the man do before rub hair ?see bananas	What does the man do before rub hair ?jump around
2 4 TRANS34283 tumblr_nhkxn39ENN1s3h8r8o1_400 What does the woman do before smile very big ?slide on horizontal telephone pole	What does the woman do before smile very big ?hug girl	What does the woman do before smile very big ?open mouth	What does the woman do before smile very big ?walk towards wall	What does the woman do before smile very big ?concentrate on music
2 1 TRANS15873 tumblr_n9y305jEGm1tbaww1o1_400 What does the woman do before strike lighter ?fight	What does the woman do before strike lighter ?pour liquor on bar	What does the woman do before strike lighter ?talk about something	What does the woman do before strike lighter ?attack another person	What does the woman do before strike lighter ?dance down the street
3 0 TRANS55628 tumblr_n8xmz9ajod1tgh87to1_400 What does the man in suit do after smile ?speak	What does the man in suit do after smile ?grab the plate	What does the man in suit do after smile ?run	What does the man in suit do after smile ?stick out tongue	What does the man in suit do after smile ?throw up right hand
3 1 TRANS54527 tumblr_ndiy7etHom1u1oao7o1_500 What does the performer do before look at camera ?point with two hand	What does the performer do before look at camera ?sing	What does the performer do before look at camera ?run up stairs	What does the performer do before look at camera ?open mouth	What does the performer do before look at camera ?push hair back
2 4 TRANS48993 tumblr_n93oox0VfY1s824qjo1_r1_400 What does the person do before wave them at the camera ?start eating watermelon	What does the person do before wave them at the camera ?run	What does the person do before wave them at the camera ?point left hand at temple	What does the person do before wave them at the camera ?raise head	What does the person do before wave them at the camera ?kiss finger
2 3 TRANS53112 tumblr_np8ivduhRk1tn6pbso1_500 What does the woman do after raise one hand ?pick up crossbow	What does the woman do after raise one hand ?smile	What does the woman do after raise one hand ?touch other woman's nose	What does the woman do after raise one hand ?raise the other	What does the woman do after raise one hand ?stick tongue out
0 2 TRANS39844 tumblr_noagkbLLFO1rz4xj6o1_1280 What does the guy on left do after high five with another guy ?swing guitar	What does the guy on left do after high five with another guy ?lift arm	What does the guy on left do after high five with another guy ?talk	What does the guy on left do after high five with another guy ?flip page	What does the guy on left do after high five with another guy ?roll over
4 3 TRANS42906 tumblr_nd8oxuZ1tJ1tsbbfxo1_400 What does the woman do after take hat off ?run	What does the woman do after take hat off ?open mouth	What does the woman do after take hat off ?close eye	What does the woman do after take hat off ?shake hair	What does the woman do after take hat off ?point
0 3 TRANS38599 tumblr_nq9tkzX6Mn1syyvtvo1_400 What does the woman do before leaning backward ?lift hand	What does the woman do before leaning backward ?eat popcorn	What does the woman do before leaning backward ?shoot an arrow	What does the woman do before leaning backward ?turning	What does the woman do before leaning backward ?bite cookie
0 4 TRANS12198 tumblr_n9ousdC7yv1tdjuqvo1_400 What does the man in blue jacket do after hit a target with a knife ?observe bed	What does the man in blue jacket do after hit a target with a knife ?clap hand	What does the man in blue jacket do after hit a target with a knife ?smile	What does the man in blue jacket do after hit a target with a knife ?smiles	What does the man in blue jacket do after hit a target with a knife ?cut the pineapple
4 2 TRANS45466 tumblr_nh07lr7LIE1tqm4yoo1_500 What does the man do after sticks out tongue ?to kiss	What does the man do after sticks out tongue ?raise arm	What does the man do after sticks out tongue ?looks away	What does the man do after sticks out tongue ?lie on ground	What does the man do after sticks out tongue ?shake hair
2 4 TRANS29062 tumblr_nf2veyFfRX1sv2msho1_1280 What does the man do after turn right ?ride a skateboard	What does the man do after turn right ?dance	What does the man do after turn right ?lean body to right	What does the man do after turn right ?talk to a girl	What does the man do after turn right ?wipe face
0 3 TRANS39435 tumblr_nbax2i9PKO1tjga18o1_400 What does the man do before start slide ?kick ball	What does the man do before start slide ?spin in arm	What does the man do before start slide ?ride a skateboard on ledge	What does the man do before start slide ?lay still	What does the man do before start slide ?hit glass
4 2 TRANS25473 tumblr_nhs167nwkW1tp29hho1_400 What does the woman in gray do before stand up ?lower arm	What does the woman in gray do before stand up ?run with ball	What does the woman in gray do before stand up ?smile	What does the woman in gray do before stand up ?drive slowly	What does the woman in gray do before stand up ?on back
2 0 TRANS3573 tumblr_nd7lsdYhvX1tsstpdo1_250 What does the woman do before stand up ?swing hair	What does the woman do before stand up ?shrug shoulder	What does the woman do before stand up ?examine the door stop	What does the woman do before stand up ?yawn	What does the woman do before stand up ?remove hand from face
0 4 TRANS7876 tumblr_ngo9zfHkp61qixslso1_400 What does the dog do after carry bottle toward camera ?munch on food	What does the dog do after carry bottle toward camera ?smile	What does the dog do after carry bottle toward camera ?stare forward	What does the dog do after carry bottle toward camera ?thrust weapon	What does the dog do after carry bottle toward camera ?run away without bottle
0 3 TRANS23997 tumblr_nk4h904IAw1r8zm0oo1_500 What does the tiger do before bite meat ?act surprise	What does the tiger do before bite meat ?fix hair	What does the tiger do before bite meat ?nod head	What does the tiger do before bite meat ?swim	What does the tiger do before bite meat ?smoke cigarette
4 3 TRANS13967 tumblr_nb2g9zstbd1s5eklko1_500 What does the woman do before put finger in mouth ?clap hand	What does the woman do before put finger in mouth ?spin herself around	What does the woman do before put finger in mouth ?pose	What does the woman do before put finger in mouth ?open mouth	What does the woman do before put finger in mouth ?wipe face
0 3 TRANS20363 tumblr_n9znvoHWja1shpnybo1_400 What does the lady do before wave ?fix woman's scary	What does the lady do before wave ?run hand up leg	What does the lady do before wave ?land on skateboard	What does the lady do before wave ?hug boy	What does the lady do before wave ?in the water
3 4 TRANS46918 tumblr_n8ctf9ELMW1taivooo1_500 What does the car do after see ?kick forward leg	What does the car do after see ?run toward soccer ball	What does the car do after see ?start smile	What does the car do after see ?take a glance to the camera	What does the car do after see ?invisible
2 1 TRANS49492 tumblr_n8qiycY2KN1rs3l09o1_500 What does the man do after raise hand ?walk	What does the man do after raise hand ?cover mouth	What does the man do after raise hand ?laugh	What does the man do after raise hand ?talk with man	What does the man do after raise hand ?run away
3 1 TRANS37560 tumblr_nr9zjlheTF1tua54co1_400 What does the man on left do after slap legs ?smile	What does the man on left do after slap legs ?throw hands in air	What does the man on left do after slap legs ?lean back and speak	What does the man on left do after slap legs ?begin to wave hand	What does the man on left do after slap legs ?lift by other men
4 1 TRANS41718 tumblr_npsss3YbI91rda9yxo1_500 What does the man do after rock from side to side ?talk about something	What does the man do after rock from side to side ?bend forward	What does the man do after rock from side to side ?happy	What does the man do after rock from side to side ?whole	What does the man do after rock from side to side ?have hand on object
0 2 TRANS19800 tumblr_njuqynOmaR1qat224o1_400 What does the man do after shake the woman's hand ?bite a finger	What does the man do after shake the woman's hand ?stare at a crowd	What does the man do after shake the woman's hand ?start to yell	What does the man do after shake the woman's hand ?cover face	What does the man do after shake the woman's hand ?bow head down to the musical instrument
1 2 TRANS756 tumblr_nbi0u01XqX1qje303o1_250 What does the woman do after upside down ?smirk	What does the woman do after upside down ?at the bottom of the stairs	What does the woman do after upside down ?kiss a guy	What does the woman do after upside down ?land on man	What does the woman do after upside down ?skate
0 3 TRANS36097 tumblr_nl0b1fP4gV1tkr178o1_400 What does the elephant with a hat do before play the guitar ?place something on a shelf	What does the elephant with a hat do before play the guitar ?begin smile	What does the elephant with a hat do before play the guitar ?open door	What does the elephant with a hat do before play the guitar ?slap friend's hand	What does the elephant with a hat do before play the guitar ?looking at the camera
2 4 TRANS3950 tumblr_niqzllM4Uk1u9nt3mo1_250 What does the man do after look ahead ?on slope	What does the man do after look ahead ?gasp	What does the man do after look ahead ?stare ahead	What does the man do after look ahead ?chew something	What does the man do after look ahead ?wave both hand
2 1 TRANS44406 tumblr_na67grxClc1qkzl7oo1_500 What does the woman on the right do after smile ?run	What does the woman on the right do after smile ?kiss a boy	What does the woman on the right do after smile ?have hand fold	What does the woman on the right do after smile ?point woman	What does the woman on the right do after smile ?raise arm in air
4 3 TRANS34370 tumblr_nom37wmmGg1s4eg66o1_500 What does the girl do after look at the giraffe ?stay on the roof of a car	What does the girl do after look at the giraffe ?lean over	What does the girl do after look at the giraffe ?eat	What does the girl do after look at the giraffe ?wave the giraffe at the camera	What does the girl do after look at the giraffe ?lose shirt
2 4 TRANS53111 tumblr_np8ivduhRk1tn6pbso1_500 What does the woman do before raise the other ?stick out tongue	What does the woman do before raise the other ?smile	What does the woman do before raise the other ?touch face	What does the woman do before raise the other ?pick up dog	What does the woman do before raise the other ?raise one hand
3 4 TRANS37396 tumblr_nrkc0sh9Q61us2u6eo1_500 What does the woman do after blow bubble ?surprise	What does the woman do after blow bubble ?kiss a guy	What does the woman do after blow bubble ?walk into a room	What does the woman do after blow bubble ?cry	What does the woman do after blow bubble ?adjust top
3 2 TRANS47020 tumblr_ngar4bIONj1s9bfwko1_400 What does the man with a red shirt do after stand still ?walk	What does the man with a red shirt do after stand still ?pick up napkin	What does the man with a red shirt do after stand still ?wave and dance	What does the man with a red shirt do after stand still ?sit in hand	What does the man with a red shirt do after stand still ?laugh
2 0 TRANS51568 tumblr_nqoyiuB8PT1s8zwaao1_250 What does the man do after hold kid ?raise kid above head	What does the man do after hold kid ?smile	What does the man do after hold kid ?touch shirt	What does the man do after hold kid ?pick up hand	What does the man do after hold kid ?stick out tongue
3 0 TRANS53370 tumblr_nkag9eNN351unbz69o1_500 What does the girl on the right do after touch a girl's hand ?smile	What does the girl on the right do after touch a girl's hand ?run across the room	What does the girl on the right do after touch a girl's hand ?throw milk on floor	What does the girl on the right do after touch a girl's hand ?push a cat away	What does the girl on the right do after touch a girl's hand ?jump into the air
1 2 TRANS56159 tumblr_n9z95zxXHN1qedx60o1_500 What does the man do before move forward ?run	What does the man do before move forward ?walk	What does the man do before move forward ?touch lips	What does the man do before move forward ?stop fight	What does the man do before move forward ?blow smoke
4 3 TRANS27908 tumblr_n90ljfXkjj1si20l6o1_250 What does the man do after look off in distance ?dance with hand	What does the man do after look off in distance ?sing closely into microphone	What does the man do after look off in distance ?shake hand at the men	What does the man do after look off in distance ?point off in distance	What does the man do after look off in distance ?lick the woman's face
2 3 TRANS27738 tumblr_n94f8ilpLQ1t0knigo1_500 What does the man with guitar do after play music ?slip through door crack	What does the man with guitar do after play music ?slide down the ramp	What does the man with guitar do after play music ?punch hand	What does the man with guitar do after play music ?raise hand in the air	What does the man with guitar do after play music ?lick lips
3 2 TRANS17274 tumblr_nrdxk2otyS1sprf2xo1_500 What does the man do after smile ?hole a pile of sand	What does the man do after smile ?high-fives another man	What does the man do after smile ?nod	What does the man do after smile ?cover eye	What does the man do after smile ?inside house
1 3 TRANS4753 tumblr_nqmpqrXQri1rxr8nao1_250 What does the guy with a cap do before put microphone down ?gyrate	What does the guy with a cap do before put microphone down ?covers face with a blanket	What does the guy with a cap do before put microphone down ?horizontal	What does the guy with a cap do before put microphone down ?sing	What does the guy with a cap do before put microphone down ?covering forehead with hand
4 3 TRANS53369 tumblr_nkag9eNN351unbz69o1_500 What does the girl on the right do before smile ?stop bike	What does the girl on the right do before smile ?walk on two legs	What does the girl on the right do before smile ?run away	What does the girl on the right do before smile ?touch a girl's hand	What does the girl on the right do before smile ?blow a kiss
0 3 TRANS37647 tumblr_nojismJxtD1r90etqo1_400 What does the man do before fix hair ?looking up	What does the man do before fix hair ?smile	What does the man do before fix hair ?lean toward man on right	What does the man do before fix hair ?strike person	What does the man do before fix hair ?flip
4 2 TRANS57916 tumblr_npfcbburKv1uqba17o1_500 What does the woman do after dance ?stick tongue	What does the woman do after dance ?smile	What does the woman do after dance ?lead backwards	What does the woman do after dance ?grab boys pant	What does the woman do after dance ?sit on sofa
0 2 TRANS17106 tumblr_nkxhmpEcZq1scd4jmo1_250 What do the woman in polka dots do after stop on ground ?concentrate	What do the woman in polka dots do after stop on ground ?spin on pole	What do the woman in polka dots do after stop on ground ?open mouth	What do the woman in polka dots do after stop on ground ?grind pole	What do the woman in polka dots do after stop on ground ?sing into microphone
4 3 TRANS15624 tumblr_n8vnfnID7o1tepekso1_400 What does the man do after wave hand ?pee	What does the man do after wave hand ?slap lady	What does the man do after wave hand ?yell	What does the man do after wave hand ?form heart	What does the man do after wave hand ?nod head
2 3 TRANS34352 tumblr_nca11jFXRI1qhb3vzo1_500 What does the drummer do after stare ?disappear	What does the drummer do after stare ?open mouth	What does the drummer do after stare ?hide	What does the drummer do after stare ?beat drum	What does the drummer do after stare ?slide down stairs
3 0 TRANS56123 tumblr_nkrkl4u4JU1unyhx2o1_400 What does the blue car do before spin out ?drive behind red car	What does the blue car do before spin out ?smile	What does the blue car do before spin out ?lay on person's arm	What does the blue car do before spin out ?fall off a bench	What does the blue car do before spin out ?hang down
4 2 TRANS42077 tumblr_njb0rpCsKz1tzc1tgo1_500 What does the woman do before fall in the water ?stop	What does the woman do before fall in the water ?hit balloon to other man	What does the woman do before fall in the water ?lean back	What does the woman do before fall in the water ?wait for a musical introduction	What does the woman do before fall in the water ?place a cat on the table
4 2 TRANS37297 tumblr_nariz0niLN1tbdnaro1_500 What does the boy in red do before run away ?talk	What does the boy in red do before run away ?raise arm	What does the boy in red do before run away ?light newspaper	What does the boy in red do before run away ?pretend to sip drink	What does the boy in red do before run away ?kick a bottle
3 1 TRANS39886 tumblr_njni41Nt6Y1th7wxvo1_1280 What does the person who wear a blue clothe do after run ?raise hand	What does the person who wear a blue clothe do after run ?vomit	What does the person who wear a blue clothe do after run ?step to the side	What does the person who wear a blue clothe do after run ?swing around a pole	What does the person who wear a blue clothe do after run ?open mouth
2 1 TRANS33154 tumblr_nb9zafvwGL1rl5d36o1_500 What does the man do after hand raise behind him ?sing into bottle	What does the man do after hand raise behind him ?lower hand	What does the man do after hand raise behind him ?shake head	What does the man do after hand raise behind him ?smile on the street	What does the man do after hand raise behind him ?talk
3 0 TRANS58807 tumblr_nfdc35WaSX1u3l171o1_500 What does the man do before cry ?smile	What does the man do before cry ?throw phone	What does the man do before cry ?jump up	What does the man do before cry ?point	What does the man do before cry ?start running
4 3 TRANS42866 tumblr_n8v6zpkWHU1qev9l8o1_400 What does the man with a brown jacket do after appear on a screen from right side ?ride up	What does the man with a brown jacket do after appear on a screen from right side ?smile and hold a wire	What does the man with a brown jacket do after appear on a screen from right side ?touch womans hair	What does the man with a brown jacket do after appear on a screen from right side ?fall to floor	What does the man with a brown jacket do after appear on a screen from right side ?talk
0 3 TRANS19589 tumblr_nftwuicUUR1rmlxeco1_400 What does the woman do before cover mouth ?rub neck	What does the woman do before cover mouth ?lean forward	What does the woman do before cover mouth ?eat something	What does the woman do before cover mouth ?wave hand	What does the woman do before cover mouth ?tie string
2 4 TRANS11028 tumblr_njs60h8O8b1rx2wm4o3_400 What does the man do after touch chest ?fry the bacon	What does the man do after touch chest ?kiss girl	What does the man do after touch chest ?sing	What does the man do after touch chest ?brush dog's hair	What does the man do after touch chest ?point to sky
3 0 TRANS22409 tumblr_ne5wedpGdD1qisvn0o1_500 What does the man do before look into the camera ?fix hair	What does the man do before look into the camera ?dance	What does the man do before look into the camera ?climb on horse	What does the man do before look into the camera ?stare straight ahead	What does the man do before look into the camera ?walking forward
4 2 TRANS49699 tumblr_n98k21fpdu1t5ojzdo1_250 What does the woman do before smoke ?shake head	What does the woman do before smoke ?raise right arm	What does the woman do before smoke ?look on	What does the woman do before smoke ?throw hand forward	What does the woman do before smoke ?blow smoke
1 2 TRANS36774 tumblr_ncaw26Ufyo1s77tqjo1_500 What does the man do after gesture ?eat	What does the man do after gesture ?smile	What does the man do after gesture ?push friend away	What does the man do after gesture ?sitting	What does the man do after gesture ?laugh
1 4 TRANS50503 tumblr_na83b5II9w1r8idi4o1_250 What does the girl do before put hand on hips ?say something	What does the girl do before put hand on hips ?close finger	What does the girl do before put hand on hips ?raise hand	What does the girl do before put hand on hips ?behind table	What does the girl do before put hand on hips ?flip hair
1 4 TRANS20474 tumblr_nefe46IPQf1tjiaa2o1_400 What does the man in white do after raise guitar ?hug crayon	What does the man in white do after raise guitar ?bend knees	What does the man in white do after raise guitar ?bow down	What does the man in white do after raise guitar ?arm parallel with hand in fists	What does the man in white do after raise guitar ?start to play
3 2 TRANS36768 tumblr_nghmju272O1qdxu8so1_400 What does the wrestler with a black jean do after jump over ring ?bite at dog's face	What does the wrestler with a black jean do after jump over ring ?smile	What does the wrestler with a black jean do after jump over ring ?land on ground	What does the wrestler with a black jean do after jump over ring ?swing on rope	What does the wrestler with a black jean do after jump over ring ?lean left
0 4 TRANS34692 tumblr_nk4svrV1uI1rde1vuo1_500 What does the man do after talk to woman ?looking at camera	What does the man do after talk to woman ?close eye	What does the man do after talk to woman ?speak	What does the man do after talk to woman ?walk forward	What does the man do after talk to woman ?roll chair around
3 0 TRANS56756 tumblr_nhrcxzGTpN1u7dhxao1_500 What does the man do after fall to the water ?sink under water	What does the man do after fall to the water ?say something	What does the man do after fall to the water ?smile	What does the man do after fall to the water ?pick up cup	What does the man do after fall to the water ?give a hug
4 1 TRANS56657 tumblr_nhv3wupJI61txchtio1_500 What does the man do before move out of picture ?run	What does the man do before move out of picture ?stare through hole	What does the man do before move out of picture ?push a woman	What does the man do before move out of picture ?start to kiss man	What does the man do before move out of picture ?bring hand together
2 3 TRANS1421 tumblr_na6ruvUUJV1tiqkyno1_250 What does the man do beforehand down ?paddle with hand	What does the man do beforehand down ?wag head	What does the man do beforehand down ?gasp	What does the man do beforehand down ?wave hand	What does the man do beforehand down ?tilt to the side
2 0 TRANS2641 tumblr_npuazcydPD1te94myo1_400 What does the cat do before hit tube ?lick tube	What does the cat do before hit tube ?injure himself	What does the cat do before hit tube ?juggle a box	What does the cat do before hit tube ?meow	What does the cat do before hit tube ?lower glass
4 3 TRANS5820 tumblr_noikj9h4iM1uvdkzko1_400 What does the dude do after grab bottom of shirt ?scrunch finger	What does the dude do after grab bottom of shirt ?raise arm	What does the dude do after grab bottom of shirt ?inhale the smoke back into mouth	What does the dude do after grab bottom of shirt ?rip it open	What does the dude do after grab bottom of shirt ?tiptoe to the left
1 0 TRANS12082 tumblr_ngc3ha74A51tkg42io1_250 What does the girl do after walk with a man ?wave by two hand	What does the girl do after walk with a man ?stare at other man	What does the girl do after walk with a man ?cover mouth	What does the girl do after walk with a man ?chew	What does the girl do after walk with a man ?sing
4 2 TRANS24228 tumblr_nnw6wwCf201qi6fy2o1_400 What does the animal do after lay on back ?empty	What does the animal do after lay on back ?lower	What does the animal do after lay on back ?kick hind legs	What does the animal do after lay on back ?appear grin teeth	What does the animal do after lay on back ?write on a window
2 4 TRANS47077 tumblr_noevcvcung1tdzqsio1_540 What does the man do before smile ?place hand under chin	What does the man do before smile ?point up	What does the man do before smile ?raise eyebrows	What does the man do before smile ?run	What does the man do before smile ?lick
3 2 TRANS42078 tumblr_njb0rpCsKz1tzc1tgo1_500 What does the woman do after lean back ?touch hair	What does the woman do after lean back ?smile	What does the woman do after lean back ?fall in the water	What does the woman do after lean back ?spin around	What does the woman do after lean back ?ride a skateboard
4 0 TRANS47311 tumblr_n9pb8zOyw21sk66qto1_250 What does the woman do before touch hair ?adjust seat	What does the woman do before touch hair ?walk backward	What does the woman do before touch hair ?laugh	What does the woman do before touch hair ?talk to a man	What does the woman do before touch hair ?blow kiss
0 3 TRANS1287 tumblr_ne1rovQKEs1tomzioo1_250 What does the boy on the right do before hug a boy ?paw at another cat	What does the boy on the right do before hug a boy ?bark	What does the boy on the right do before hug a boy ?bob head	What does the boy on the right do before hug a boy ?laugh	What does the boy on the right do before hug a boy ?cover mouth
2 0 TRANS11093 tumblr_nnzkzxzWdA1qhojs7o1_250 What does the girl do before raise a yellow colored object ?walk	What does the girl do before raise a yellow colored object ?wave	What does the girl do before raise a yellow colored object ?trim the hair	What does the girl do before raise a yellow colored object ?sour	What does the girl do before raise a yellow colored object ?fold arm
3 1 TRANS58452 tumblr_nfdbfb4nT11tx8mn0o1_400 What does the black colored car do after make a turn on a curved road ?smile	What does the black colored car do after make a turn on a curved road ?start spinning to stop	What does the black colored car do after make a turn on a curved road ?lay back	What does the black colored car do after make a turn on a curved road ?stand still before man	What does the black colored car do after make a turn on a curved road ?throw money
2 4 TRANS34845 tumblr_nfzfabyUbK1rro3hqo1_400 What do the eyes do before open look up ?shake right paw	What do the eyes do before open look up ?flip	What do the eyes do before open look up ?roll eye while turn away	What do the eyes do before open look up ?spin kick in the air	What do the eyes do before open look up ?close down position
0 4 TRANS31572 tumblr_nhn4qolyxQ1tgouwlo1_400 What does the lizard do after look at cat ?start at left	What does the lizard do after look at cat ?begin to unbutton blouse	What does the lizard do after look at cat ?close eye	What does the lizard do after look at cat ?play guitar	What does the lizard do after look at cat ?whip cat with tail
2 3 TRANS52207 tumblr_ndmu0qjhiV1rj84s9o1_500 What does the man do before eating ?open eye	What does the man do before eating ?raise fist	What does the man do before eating ?smile	What does the man do before eating ?picking up food	What does the man do before eating ?shake hand
